Most used words by BENEE: 
Number of songs scanned: 28

490. consumed - 2 uses.
491. mental - 2 uses.
492. does - 2 uses.
493. medicate - 2 uses.
494. help - 2 uses.
495. unwell - 2 uses.
496. before - 2 uses.
497. although - 2 uses.
498. fears - 2 uses.
499. drain - 2 uses.
500. window - 2 uses.
501. supposed - 2 uses.
502. fight - 2 uses.
503. soul - 2 uses.
504. blank - 2 uses.
505. walls - 2 uses.
506. surrounding - 2 uses.
507. between - 2 uses.
508. scenes - 2 uses.
509. purple - 2 uses.
510. green - 2 uses.
511. teen - 2 uses.
512. broke - 2 uses.
513. chasing - 2 uses.
514. state - 2 uses.
515. revenge - 2 uses.
516. killer - 2 uses.
517. trigger - 2 uses.
518. mean - 2 uses.
519. prove - 2 uses.
520. ugly - 2 uses.
521. boyfriend - 2 uses.
522. above - 2 uses.
523. mm-mm - 1 use.
524. pretty - 1 use.
525. werent - 1 use.
526. helping - 1 use.
527. youd - 1 use.
528. small - 1 use.
529. forced - 1 use.
530. til - 1 use.
531. realise - 1 use.
532. mm-mm-mm - 1 use.
533. ceilin - 1 use.
534. asked - 1 use.
535. wanted - 1 use.
536. cigar - 1 use.
537. smoke - 1 use.
538. car - 1 use.
539. hand - 1 use.
540. bizarre - 1 use.
541. date - 1 use.
542. threaded - 1 use.
543. crazy - 1 use.
544. mine - 1 use.
545. reel - 1 use.
546. delicately - 1 use.
547. evil - 1 use.
548. intentions - 1 use.
549. fangs - 1 use.
550. wahangū - 1 use.
551. noho - 1 use.
552. haere - 1 use.
553. mahara - 1 use.
554. taea - 1 use.
555. pupuri - 1 use.
556. tiro - 1 use.
557. mai - 1 use.
558. anō - 1 use.
559. patua - 1 use.
560. mahue - 1 use.
561. ko - 1 use.
562. ngākau - 1 use.
563. marū - 1 use.
564. nā - 1 use.
565. raruraru - 1 use.
566. miere - 1 use.
567. tinana - 1 use.
568. chill - 1 use.
569. crawls - 1 use.
570. tingling - 1 use.
571. limbs - 1 use.
572. god - 1 use.
573. gave - 1 use.
574. such - 1 use.
575. fright - 1 use.
576. standing - 1 use.
577. white - 1 use.
578. cave - 1 use.
579. heres - 1 use.
580. brave - 1 use.
581. eating - 1 use.
582. offers - 1 use.
583. blueberry - 1 use.
584. walks - 1 use.
585. pot - 1 use.
586. pops - 1 use.
587. burning - 1 use.
588. rising - 1 use.
589. save - 1 use.
590. jump - 1 use.
591. cover - 1 use.
592. hiding - 1 use.
593. spot - 1 use.
594. relax - 1 use.
595. snap - 1 use.
596. watch - 1 use.
597. walkin - 1 use.
598. steal - 1 use.
599. remains - 1 use.
600. covers - 1 use.
601. pray - 1 use.
602. eden - 1 use.
603. eve - 1 use.
604. speakin - 1 use.
605. speedballin - 1 use.
606. speedin - 1 use.
607. weekend - 1 use.
608. keeps - 1 use.
609. preein - 1 use.
610. deceivin - 1 use.
611. schemin - 1 use.
612. screen - 1 use.
613. leavin - 1 use.
614. dracula - 1 use.
615. match - 1 use.
616. pack - 1 use.
617. demon - 1 use.
618. spare - 1 use.
619. walked - 1 use.
620. five - 1 use.
621. whole - 1 use.
622. vibe - 1 use.
623. suns - 1 use.
624. kryptonite - 1 use.
625. crib - 1 use.
626. shh - 1 use.
627. ceiling - 1 use.
628. woo - 1 use.
629. loathe - 1 use.
630. romancing - 1 use.
631. damned - 1 use.
632. dancin - 1 use.
633. slam - 1 use.
634. irish - 1 use.
635. buck - 1 use.
636. compostable - 1 use.
637. cups - 1 use.
638. b-b-benee - 1 use.
639. stress - 1 use.
640. hate - 1 use.
641. boogie - 1 use.
642. restless - 1 use.
643. tongue - 1 use.
644. sealed - 1 use.
645. thoughts - 1 use.
646. walking - 1 use.
647. dancing - 1 use.
648. hit - 1 use.
649. stole - 1 use.
650. bruised - 1 use.
651. plane - 1 use.
652. old - 1 use.
