Most used words by Flume: 
Number of songs scanned: 54

582. givin - 2 uses.
583. nice - 2 uses.
584. stupid - 2 uses.
585. fresh - 2 uses.
586. smile - 2 uses.
587. tooth - 2 uses.
588. skull - 2 uses.
589. hahahahaha - 2 uses.
590. translate - 2 uses.
591. ex-communicate - 2 uses.
592. relate - 2 uses.
593. wearing - 2 uses.
594. deserve - 2 uses.
595. rising - 2 uses.
596. misted - 2 uses.
597. patterns - 2 uses.
598. clothes - 2 uses.
599. bare - 2 uses.
600. most - 2 uses.
601. sweet - 2 uses.
602. anymore - 2 uses.
603. daylight - 2 uses.
604. less - 2 uses.
605. whereve - 2 uses.
606. walls - 2 uses.
607. listening - 2 uses.
608. single - 2 uses.
609. tap - 2 uses.
610. artwork - 2 uses.
611. save - 2 uses.
612. collection - 2 uses.
613. raise - 2 uses.
614. arm - 2 uses.
615. wave - 2 uses.
616. morning - 1 use.
617. yawning - 1 use.
618. near - 1 use.
619. closer - 1 use.
620. ages - 1 use.
621. anxious - 1 use.
622. punch - 1 use.
623. drunk - 1 use.
624. lovely - 1 use.
625. promised - 1 use.
626. land - 1 use.
627. switch - 1 use.
628. script - 1 use.
629. rowdy - 1 use.
630. cobblestone - 1 use.
631. wrongs - 1 use.
632. songs - 1 use.
633. patient - 1 use.
634. send - 1 use.
635. directions - 1 use.
636. final - 1 use.
637. destination - 1 use.
638. deeper - 1 use.
639. correct - 1 use.
640. inhibitions - 1 use.
641. beast - 1 use.
642. goose - 1 use.
643. terrified - 1 use.
644. future - 1 use.
645. compromising - 1 use.
646. highway - 1 use.
647. played - 1 use.
648. lust - 1 use.
649. building - 1 use.
650. wowed - 1 use.
651. instant - 1 use.
652. boosie - 1 use.
653. ass - 1 use.
654. lame - 1 use.
655. rap - 1 use.
656. bust - 1 use.
657. rhyme - 1 use.
658. guilty - 1 use.
659. pleasures - 1 use.
660. turned - 1 use.
661. cases - 1 use.
662. handcuffs - 1 use.
663. police - 1 use.
