Most used words by  Samia: 
Number of songs scanned: 30

825. broaden - 1 uses.
826. google - 1 uses.
827. wrote - 1 uses.
828. spite - 1 uses.
829. shame - 1 uses.
830. wow - 1 uses.
831. terrifying - 1 uses.
832. crippling - 1 uses.
833. resentment - 1 uses.
834. beliefs - 1 uses.
835. vice - 1 uses.
836. punish - 1 uses.
837. humor - 1 uses.
838. relief - 1 uses.
839. tea - 1 uses.
840. fun - 1 uses.
841. opinion - 1 uses.
842. extracting - 1 uses.
843. prose - 1 uses.
844. balladry - 1 uses.
845. hairball - 1 uses.
846. lodged - 1 uses.
847. throat - 1 uses.
848. explode - 1 uses.
849. line - 1 uses.
850. boobs - 1 uses.
851. noon - 1 uses.
852. sweaty - 1 uses.
853. pulling - 1 uses.
854. dress - 1 uses.
855. forget - 1 uses.
856. soon - 1 uses.
857. monstrous - 1 uses.
858. jury - 1 uses.
859. attest - 1 uses.
860. beneath - 1 uses.
861. monster - 1 uses.
862. yes - 1 uses.
863. brandish - 1 uses.
864. lasting - 1 uses.
865. imminent - 1 uses.
866. learning - 1 uses.
867. fast - 1 uses.
868. confidence - 1 uses.
869. busy - 1 uses.
870. hesitant - 1 uses.
871. spend - 1 uses.
872. precious - 1 uses.
873. run - 1 uses.
874. hamster - 1 uses.
875. gamut - 1 uses.
876. wonder - 1 uses.
877. swimming - 1 uses.
878. koi - 1 uses.
879. mall - 1 uses.
880. yelling - 1 uses.
881. glass - 1 uses.
882. opportunist - 1 uses.
883. dick - 1 uses.
884. speak - 1 uses.
885. generation - 1 uses.
886. famous - 1 uses.
887. association - 1 uses.
888. weigh - 1 uses.
889. hundred - 1 uses.
890. pounds - 1 uses.
891. makes - 1 uses.
892. nice - 1 uses.
893. hero - 1 uses.
894. sittoos - 1 uses.
895. watching - 1 uses.
896. laughing - 1 uses.
897. slumly - 1 uses.
898. grown-up - 1 uses.
899. ingénue - 1 uses.
900. family - 1 uses.
901. salt - 1 uses.
902. earth - 1 uses.
903. piss - 1 uses.
904. pillar - 1 uses.
905. post - 1 uses.
906. insisting - 1 uses.
907. heed - 1 uses.
908. fifth - 1 uses.
909. inning - 1 uses.
910. names - 1 uses.
911. tugging - 1 uses.
912. cheeks - 1 uses.
913. higher - 1 uses.
914. wider - 1 uses.
915. slithering - 1 uses.
916. rise - 1 uses.
917. sea - 1 uses.
918. dots - 1 uses.
919. dun-dun-dun - 1 uses.
920. touching - 1 uses.
921. pieces - 1 uses.
922. girl - 1 uses.
923. sharp - 1 uses.
924. panties - 1 uses.
925. whore - 1 uses.
926. fold - 1 uses.
927. flower - 1 uses.
928. mine - 1 uses.
929. angel - 1 uses.
930. amen - 1 uses.
931. lord - 1 uses.
932. fox - 1 uses.
933. gray - 1 uses.
934. quiet - 1 uses.
935. mean - 1 uses.
936. picking - 1 uses.
937. worried - 1 uses.
938. seam - 1 uses.
939. phone - 1 uses.
940. red - 1 uses.
941. fires - 1 uses.
942. taken - 1 uses.
943. nursery - 1 uses.
944. rhyme - 1 uses.
945. sunshine - 1 uses.
946. road - 1 uses.
947. spring - 1 uses.
948. meadow - 1 uses.
949. chicken - 1 uses.
950. clucking - 1 uses.
951. prima - 1 uses.
952. donna - 1 uses.
953. green - 1 uses.
954. summer - 1 uses.
955. till - 1 uses.
956. telescope - 1 uses.
957. guitar - 1 uses.
958. suitcase - 1 uses.
959. coat - 1 uses.
960. blue - 1 uses.
961. humming - 1 uses.
962. tune - 1 uses.
963. shoulder - 1 uses.
964. rather - 1 uses.
965. drippings - 1 uses.
966. wet - 1 uses.
967. screaming - 1 uses.
968. sliced - 1 uses.
969. neck - 1 uses.
970. pit - 1 uses.
971. stomach - 1 uses.
972. rolled - 1 uses.
973. missed - 1 uses.
974. dissolve - 1 uses.
975. tongue - 1 uses.
976. disgusting - 1 uses.
977. accident - 1 uses.
978. communion - 1 uses.
979. sneaking - 1 uses.
980. without - 1 uses.
981. manners - 1 uses.
982. scripture - 1 uses.
983. sink - 1 uses.
984. book - 1 uses.
985. secrets - 1 uses.
986. easing - 1 uses.
987. grip - 1 uses.
988. steal - 1 uses.
989. purpose - 1 uses.
990. mistake - 1 uses.
991. mistakes - 1 uses.
992. worsen - 1 uses.
993. secret - 1 uses.
994. entertain - 1 uses.
995. triptych - 1 uses.
996. sell - 1 uses.
997. strand - 1 uses.
998. stands - 1 uses.
999. brick - 1 uses.
1000. girlfriend - 1 uses.
1001. predator - 1 uses.
1002. bedstand - 1 uses.
1003. led - 1 uses.
1004. pants - 1 uses.
1005. damp - 1 uses.
1006. excuse - 1 uses.
1007. loose - 1 uses.
1008. feeding - 1 uses.
1009. eating - 1 uses.
1010. though - 1 uses.
1011. poisonous - 1 uses.
1012. hurled - 1 uses.
