Most used words by  COIN: 
Number of songs scanned: 57

858. basement - 1 uses.
859. fake - 1 uses.
860. show - 1 uses.
861. called - 1 uses.
862. popular - 1 uses.
863. secret - 1 uses.
864. handshakes - 1 uses.
865. cracking - 1 uses.
866. eggshells - 1 uses.
867. forgive - 1 uses.
868. says - 1 uses.
869. bring - 1 uses.
870. mouth - 1 uses.
871. yours - 1 uses.
872. spill - 1 uses.
873. nervous - 1 uses.
874. stutter - 1 uses.
875. karma - 1 uses.
876. killer - 1 uses.
877. chase - 1 uses.
878. heaven - 1 uses.
879. bridges - 1 uses.
880. yes - 1 uses.
881. changing - 1 uses.
882. smile - 1 uses.
883. camera - 1 uses.
884. shot - 1 uses.
885. handle - 1 uses.
886. answer - 1 uses.
887. instead - 1 uses.
888. habits - 1 uses.
889. resisted - 1 uses.
890. casually - 1 uses.
891. committed - 1 uses.
892. everyone - 1 uses.
893. looks - 1 uses.
894. kids - 1 uses.
895. faster - 1 uses.
896. theyre - 1 uses.
897. frozen - 1 uses.
898. fast - 1 uses.
899. lane - 1 uses.
900. solved - 1 uses.
901. focused - 1 uses.
902. arrive - 1 uses.
903. careful - 1 uses.
904. decide - 1 uses.
905. cheeks - 1 uses.
906. season - 1 uses.
907. rock - 1 uses.
908. eat - 1 uses.
909. standing - 1 uses.
910. slice - 1 uses.
911. humble - 1 uses.
912. pie - 1 uses.
913. lean - 1 uses.
914. sinner - 1 uses.
915. sermon - 1 uses.
916. steady - 1 uses.
917. surgeon - 1 uses.
918. grudge - 1 uses.
919. roommate - 1 uses.
920. kicked - 1 uses.
921. fly - 1 uses.
922. phony - 1 uses.
923. skating - 1 uses.
924. idol - 1 uses.
925. familiar - 1 uses.
926. anywhere - 1 uses.
927. sideways - 1 uses.
928. perfect - 1 uses.
929. term - 1 uses.
930. lightly - 1 uses.
931. mean - 1 uses.
932. worst - 1 uses.
933. lover - 1 uses.
934. please - 1 uses.
935. hallelujah - 1 uses.
936. works - 1 uses.
937. wide - 1 uses.
938. sunset - 1 uses.
939. fear - 1 uses.
940. clear - 1 uses.
941. twenty-two - 1 uses.
942. original - 1 uses.
943. four - 1 uses.
944. soul - 1 uses.
945. everlasting - 1 uses.
946. low - 1 uses.
947. blamed - 1 uses.
948. aligning - 1 uses.
949. cursed - 1 uses.
950. bass - 1 uses.
951. ok - 1 uses.
952. cord - 1 uses.
953. today - 1 uses.
954. matters - 1 uses.
955. calm - 1 uses.
956. crying - 1 uses.
957. saturated - 1 uses.
958. strangers - 1 uses.
959. bleeding - 1 uses.
960. places - 1 uses.
961. anyone - 1 uses.
962. transmitting - 1 uses.
963. spinning - 1 uses.
964. thawed - 1 uses.
965. inside - 1 uses.
966. rubbing - 1 uses.
967. apocalypse - 1 uses.
968. defense - 1 uses.
969. thousand - 1 uses.
970. recall - 1 uses.
971. thick - 1 uses.
972. listenin - 1 uses.
973. plan - 1 uses.
974. fill - 1 uses.
975. phantom - 1 uses.
976. glow - 1 uses.
977. conversation - 1 uses.
978. consider - 1 uses.
979. behind - 1 uses.
980. keeping - 1 uses.
981. informidable - 1 uses.
982. fashion - 1 uses.
983. whyre - 1 uses.
984. inconsiderate - 1 uses.
985. quiet - 1 uses.
986. act - 1 uses.
987. wouldnt - 1 uses.
988. jumped - 1 uses.
989. dad - 1 uses.
990. silver - 1 uses.
991. spoon - 1 uses.
992. pretend - 1 uses.
993. suns - 1 uses.
994. straight - 1 uses.
995. jump - 1 uses.
996. orbit - 1 uses.
997. rolls - 1 uses.
998. harlem - 1 uses.
999. pudding - 1 uses.
1000. proof - 1 uses.
1001. goes - 1 uses.
1002. swing - 1 uses.
1003. yard - 1 uses.
1004. animal - 1 uses.
1005. pride - 1 uses.
1006. terrible - 1 uses.
1007. sentimental - 1 uses.
1008. cried - 1 uses.
1009. weighing - 1 uses.
1010. predictable - 1 uses.
1011. chords - 1 uses.
1012. wrote - 1 uses.
1013. song - 1 uses.
1014. household - 1 uses.
1015. chores - 1 uses.
1016. whistle - 1 uses.
1017. princess - 1 uses.
1018. effortless - 1 uses.
1019. complex - 1 uses.
1020. thoughtless - 1 uses.
1021. white - 1 uses.
1022. rainbow - 1 uses.
1023. chemical - 1 uses.
1024. breathing - 1 uses.
1025. searching - 1 uses.
1026. friendly - 1 uses.
1027. 74 - 1 uses.
1028. gray - 1 uses.
1029. freckles - 1 uses.
1030. constellations - 1 uses.
1031. sensation - 1 uses.
1032. tattoos - 1 uses.
1033. fading - 1 uses.
1034. downfall - 1 uses.
1035. though - 1 uses.
1036. started - 1 uses.
1037. guard - 1 uses.
1038. friends - 1 uses.
1039. filling - 1 uses.
1040. heads - 1 uses.
1041. ex - 1 uses.
1042. temporary - 1 uses.
1043. settlement - 1 uses.
1044. moment - 1 uses.
1045. question - 1 uses.
1046. bait - 1 uses.
1047. hook - 1 uses.
1048. brother - 1 uses.
1049. son - 1 uses.
1050. safety - 1 uses.
1051. confetti - 1 uses.
1052. parties - 1 uses.
1053. spoiler - 1 uses.
1054. alert - 1 uses.
1055. suburbs - 1 uses.
1056. skipping - 1 uses.
1057. heartbeats - 1 uses.
1058. faith - 1 uses.
1059. odds - 1 uses.
1060. aside - 1 uses.
1061. swore - 1 uses.
1062. lied - 1 uses.
1063. haunts - 1 uses.
1064. somewhere - 1 uses.
1065. upstate - 1 uses.
1066. sixteen - 1 uses.
1067. crazy - 1 uses.
1068. slept - 1 uses.
1069. pushing - 1 uses.
1070. daisies - 1 uses.
1071. proud - 1 uses.
1072. upside - 1 uses.
1073. televisions - 1 uses.
1074. swimming - 1 uses.
1075. superstitions - 1 uses.
1076. slowly - 1 uses.
1077. help - 1 uses.
1078. crime - 1 uses.
1079. my- - 1 uses.
1080. nick - 1 uses.
1081. forge - 1 uses.
1082. short - 1 uses.
1083. game - 1 uses.
1084. anybodys - 1 uses.
1085. race - 1 uses.
1086. wrapped - 1 uses.
1087. waist - 1 uses.
1088. birthday - 1 uses.
1089. mysterious - 1 uses.
1090. concerned - 1 uses.
1091. tomorrows - 1 uses.
1092. summer - 1 uses.
1093. late - 1 uses.
1094. bloomers - 1 uses.
1095. fumbling - 1 uses.
1096. teen - 1 uses.
1097. makeup - 1 uses.
1098. laid - 1 uses.
1099. favorite - 1 uses.
1100. sweater - 1 uses.
1101. dry - 1 uses.
1102. fingers - 1 uses.
1103. obsessed - 1 uses.
1104. hometown - 1 uses.
1105. stepped - 1 uses.
1106. mothers - 1 uses.
1107. obsolete - 1 uses.
1108. changed - 1 uses.
1109. lot - 1 uses.
1110. 17 - 1 uses.
1111. grow - 1 uses.
1112. incomplete - 1 uses.
1113. born - 1 uses.
1114. 58 - 1 uses.
1115. fortune - 1 uses.
1116. selling - 1 uses.
1117. estate - 1 uses.
1118. lions - 1 uses.
1119. waited - 1 uses.
1120. gate - 1 uses.
1121. great - 1 uses.
