Most used words by Phoenix: 
Number of songs scanned: 57

685. stereo - 2 uses.
686. studio - 2 uses.
687. settle - 2 uses.
688. problem - 2 uses.
689. move - 2 uses.
690. mirror - 2 uses.
691. conscience - 2 uses.
692. treat - 2 uses.
693. closet - 2 uses.
694. apart - 2 uses.
695. scream - 2 uses.
696. wishes - 2 uses.
697. talking - 2 uses.
698. pretending - 2 uses.
699. courtesy - 2 uses.
700. laughs - 2 uses.
701. fortune - 2 uses.
702. egyptian - 2 uses.
703. affection - 2 uses.
704. misunderstandings - 2 uses.
705. waited - 2 uses.
706. near - 2 uses.
707. ball - 2 uses.
708. letting - 2 uses.
709. shiny - 2 uses.
710. suddenly - 2 uses.
711. woods - 2 uses.
712. guys - 2 uses.
713. deciders - 2 uses.
714. whispering - 2 uses.
715. dead - 2 uses.
716. bones - 2 uses.
717. lil - 2 uses.
718. called - 2 uses.
719. sweet - 2 uses.
720. hero - 2 uses.
721. cute - 2 uses.
722. sentimental - 2 uses.
723. jugulate - 2 uses.
724. distant - 2 uses.
725. weekend - 2 uses.
726. loves - 2 uses.
727. lisztomania - 2 uses.
728. grow - 2 uses.
729. masses - 2 uses.
730. discuss - 2 uses.
731. yes - 2 uses.
732. far-out - 2 uses.
733. counting - 2 uses.
734. past - 2 uses.
735. present - 2 uses.
736. futures - 2 uses.
737. complicated - 2 uses.
738. twenty - 2 uses.
739. seconds - 2 uses.
740. needed - 2 uses.
741. intentions - 2 uses.
742. tomorrow - 2 uses.
743. ways - 2 uses.
744. headline - 2 uses.
745. entertainment - 2 uses.
746. refused - 2 uses.
747. sudden - 2 uses.
748. credit - 2 uses.
749. recital - 2 uses.
750. chameleon - 2 uses.
751. disguised - 2 uses.
752. luck - 2 uses.
753. cash - 2 uses.
754. climbing - 2 uses.
755. signing - 2 uses.
756. autographs - 2 uses.
757. price - 2 uses.
758. messed - 2 uses.
759. ideals - 2 uses.
760. giveem - 2 uses.
761. stitches - 2 uses.
762. rattle - 2 uses.
763. kisses - 2 uses.
764. sunset - 2 uses.
765. somehow - 2 uses.
766. focus - 2 uses.
767. forward - 2 uses.
768. colosseum - 2 uses.
769. forevermore - 2 uses.
770. leaves - 2 uses.
771. loved - 2 uses.
772. dahlias - 2 uses.
773. worry - 2 uses.
774. recall - 2 uses.
775. daily - 2 uses.
776. compromise - 2 uses.
777. written - 2 uses.
778. decide - 2 uses.
779. keeping - 2 uses.
780. burden - 2 uses.
781. loneliness - 2 uses.
782. enjoy - 2 uses.
783. stamps - 2 uses.
784. feet - 2 uses.
785. lord - 2 uses.
786. stone - 2 uses.
787. red - 2 uses.
788. dying - 2 uses.
789. grave - 2 uses.
790. horse - 2 uses.
791. raise - 2 uses.
792. demonstrate - 2 uses.
793. living - 2 uses.
794. avenue - 2 uses.
795. grown - 2 uses.
796. caught - 2 uses.
797. regret - 2 uses.
798. prophet - 2 uses.
799. mistakes - 2 uses.
800. fault - 2 uses.
801. bit - 2 uses.
802. disrespect - 2 uses.
803. ordinary - 2 uses.
804. throw - 2 uses.
805. weight - 2 uses.
806. acts - 2 uses.
807. idiots - 2 uses.
808. provide - 2 uses.
809. wrap - 2 uses.
810. granted - 2 uses.
811. hiding - 2 uses.
812. older - 2 uses.
813. heading - 2 uses.
814. explain - 2 uses.
815. slow - 2 uses.
816. tan - 2 uses.
817. walk - 2 uses.
818. voyageur - 2 uses.
819. canoe - 2 uses.
820. list - 2 uses.
821. sos - 2 uses.
822. bel - 2 uses.
823. draw - 2 uses.
824. feed - 2 uses.
825. dusk - 2 uses.
826. restrained - 2 uses.
827. carried - 2 uses.
828. undone - 2 uses.
829. feathers - 2 uses.
830. drapes - 2 uses.
831. lace - 2 uses.
832. acres - 2 uses.
833. visible - 2 uses.
834. starts - 2 uses.
835. addicted - 2 uses.
836. soon - 2 uses.
837. figure - 2 uses.
838. terrorizing - 2 uses.
839. neighbour - 2 uses.
840. siberian - 2 uses.
841. tiger - 2 uses.
842. outsider - 2 uses.
843. neglect - 2 uses.
844. fleur - 2 uses.
845. lys - 2 uses.
846. ne - 2 uses.
847. holidays - 2 uses.
848. take-aways - 2 uses.
849. expired - 2 uses.
850. tons - 2 uses.
851. heavyweight - 2 uses.
852. roosters - 2 uses.
853. sister - 2 uses.
854. islands - 2 uses.
855. honeymoon - 2 uses.
856. rule - 2 uses.
857. body - 2 uses.
858. feelin - 2 uses.
859. oblique - 2 uses.
860. atlantis - 2 uses.
861. momentum - 2 uses.
862. tragic - 2 uses.
863. 50000 - 2 uses.
864. po - 2 uses.
865. per - 2 uses.
866. lei - 2 uses.
867. voglio - 2 uses.
868. via - 2 uses.
869. veneto - 2 uses.
870. summertime - 2 uses.
871. holding - 2 uses.
872. sore - 1 use.
873. terror - 1 use.
874. dizzy - 1 use.
875. spells - 1 use.
876. finding - 1 use.
877. named - 1 use.
878. fading - 1 use.
879. clever - 1 use.
880. brilliant - 1 use.
881. superior - 1 use.
882. ice - 1 use.
883. blow - 1 use.
884. defeat - 1 use.
885. brightest - 1 use.
886. lean - 1 use.
887. friends - 1 use.
888. enemy - 1 use.
889. league - 1 use.
890. foe - 1 use.
891. happening - 1 use.
892. came - 1 use.
893. cost - 1 use.
894. watched - 1 use.
895. castles - 1 use.
896. dust - 1 use.
897. laugh - 1 use.
898. rules - 1 use.
899. cold - 1 use.
900. circular - 1 use.
901. strives - 1 use.
902. climb - 1 use.
903. outta - 1 use.
904. gettin - 1 use.
905. paid - 1 use.
906. favors - 1 use.
907. contradictions - 1 use.
908. million - 1 use.
909. shore - 1 use.
910. underestimate - 1 use.
911. flavors - 1 use.
912. society - 1 use.
913. heads - 1 use.
914. overwhelmed - 1 use.
915. walked - 1 use.
916. stairs - 1 use.
917. complaints - 1 use.
918. echoes - 1 use.
919. behave - 1 use.
920. seven - 1 use.
921. oclock - 1 use.
922. nobel - 1 use.
923. prize - 1 use.
924. eiffel - 1 use.
925. ten - 1 use.
926. hundred - 1 use.
927. photographs - 1 use.
928. confusion - 1 use.
929. breath - 1 use.
930. telling - 1 use.
931. screaming - 1 use.
932. welcome - 1 use.
933. mat - 1 use.
934. maybe - 1 use.
935. probably - 1 use.
936. gon - 1 use.
937. controlling - 1 use.
938. bitch - 1 use.
939. relationships - 1 use.
940. floats - 1 use.
941. sink - 1 use.
942. bail - 1 use.
943. during - 1 use.
944. hurricane - 1 use.
945. rekindle - 1 use.
946. doused - 1 use.
947. infinite - 1 use.
948. rain - 1 use.
949. lifted - 1 use.
950. spite - 1 use.
951. prepared - 1 use.
952. bird - 1 use.
953. ash - 1 use.
954. flames - 1 use.
955. able - 1 use.
956. earn - 1 use.
957. burns - 1 use.
958. skies - 1 use.
959. grey - 1 use.
960. self - 1 use.
961. men - 1 use.
962. trace - 1 use.
963. alcohol - 1 use.
964. erase - 1 use.
965. everywhere - 1 use.
966. tv - 1 use.
967. square - 1 use.
968. fair - 1 use.
969. huh - 1 use.
970. chose - 1 use.
971. beats - 1 use.
972. uprooted - 1 use.
973. goals - 1 use.
974. beckham - 1 use.
975. shoot - 1 use.
976. hits - 1 use.
977. shift - 1 use.
978. plates - 1 use.
979. movement - 1 use.
980. pedal - 1 use.
981. cruising - 1 use.
982. armstrong - 1 use.
983. doper - 1 use.
984. tracks - 1 use.
985. tour - 1 use.
986. fran - 1 use.
987. medal - 1 use.
988. flipping - 1 use.
989. used - 1 use.
990. flippin - 1 use.
991. hitting - 1 use.
992. stages - 1 use.
993. headed - 1 use.
994. realise - 1 use.
995. street - 1 use.
996. afraid - 1 use.
997. simple - 1 use.
998. deep - 1 use.
999. crowd - 1 use.
1000. dancin - 1 use.
1001. becomes - 1 use.
1002. nighttime - 1 use.
1003. arms - 1 use.
1004. very - 1 use.
1005. fears - 1 use.
1006. shakin - 1 use.
1007. rainfalls - 1 use.
1008. spirit - 1 use.
1009. survive - 1 use.
1010. juvenile - 1 use.
1011. bless - 1 use.
1012. borderline - 1 use.
1013. misfit - 1 use.
1014. bell - 1 use.
1015. knowledge - 1 use.
1016. forgiveness - 1 use.
1017. fixed - 1 use.
1018. atom - 1 use.
1019. 21 - 1 use.
1020. defeated - 1 use.
1021. wall - 1 use.
1022. file - 1 use.
1023. deleted - 1 use.
1024. drive - 1 use.
1025. dismissed - 1 use.
1026. gotten - 1 use.
1027. wasnt - 1 use.
1028. isnt - 1 use.
1029. singing - 1 use.
1030. wild - 1 use.
1031. began - 1 use.
1032. dumb - 1 use.
1033. certain - 1 use.
1034. singers - 1 use.
1035. adolescences - 1 use.
1036. legions - 1 use.
1037. desert - 1 use.
1038. coexist - 1 use.
1039. depending - 1 use.
1040. wearing - 1 use.
1041. wildlife - 1 use.
1042. binoculars - 1 use.
1043. teach - 1 use.
1044. intention - 1 use.
1045. presbyterian - 1 use.
1046. mint - 1 use.
1047. julep - 1 use.
1048. testosterone - 1 use.
1049. innocence - 1 use.
1050. immature - 1 use.
1051. dozen - 1 use.
1052. pink - 1 use.
1053. ranunculus - 1 use.
1054. problems - 1 use.
1055. solve - 1 use.
1056. bachelors - 1 use.
1057. compliments - 1 use.
1058. sound - 1 use.
1059. cynical - 1 use.
1060. gruesome - 1 use.
1061. nothings - 1 use.
1062. personal - 1 use.
1063. physical - 1 use.
1064. evidence - 1 use.
1065. cannibal - 1 use.
1066. boyfriend - 1 use.
1067. drag - 1 use.
1068. capri - 1 use.
1069. motel - 1 use.
1070. pantheon - 1 use.
1071. chateau - 1 use.
1072. don - 1 use.
1073. ritual - 1 use.
1074. motive - 1 use.
1075. turquoise - 1 use.
1076. navy - 1 use.
1077. blue - 1 use.
1078. polynesian - 1 use.
1079. bayou - 1 use.
1080. trail - 1 use.
1081. valentines - 1 use.
1082. deum - 1 use.
1083. battle - 1 use.
1084. beating - 1 use.
1085. cursive - 1 use.
1086. cherish - 1 use.
1087. whod - 1 use.
1088. root - 1 use.
1089. sounded - 1 use.
1090. hearted - 1 use.
1091. letter - 1 use.
1092. tuition - 1 use.
1093. tossed - 1 use.
1094. sinister - 1 use.
1095. stitching - 1 use.
1096. forgot - 1 use.
1097. numero - 1 use.
1098. uno - 1 use.
1099. fool - 1 use.
1100. suit - 1 use.
1101. lies+ - 1 use.
1102. hidden - 1 use.
1103. codes= - 1 use.
1104. victim - 1 use.
1105. crime - 1 use.
1106. expecting - 1 use.
