Most used words by Drake: 
Number of songs scanned: 365

526. needed - 31 uses.
527. isnt - 31 uses.
528. later - 31 uses.
529. ovo - 31 uses.
530. minute - 31 uses.
531. bag - 31 uses.
532. jump - 31 uses.
533. blame - 31 uses.
534. fucked - 31 uses.
535. wife - 31 uses.
536. slide - 31 uses.
537. clap - 31 uses.
538. famous - 30 uses.
539. feels - 30 uses.
540. walk - 30 uses.
541. does - 30 uses.
542. workin - 30 uses.
543. bank - 30 uses.
544. block - 30 uses.
545. sex - 30 uses.
546. fame - 30 uses.
547. number - 30 uses.
548. ladies - 30 uses.
549. found - 30 uses.
550. problems - 30 uses.
551. tired - 30 uses.
552. lately - 30 uses.
553. ring - 30 uses.
554. along - 30 uses.
555. chill - 30 uses.
556. wishin - 30 uses.
557. shots - 30 uses.
558. worth - 29 uses.
559. street - 29 uses.
560. known - 29 uses.
561. bein - 29 uses.
562. blue - 29 uses.
563. fore - 29 uses.
564. matter - 29 uses.
565. fun - 29 uses.
566. stories - 29 uses.
567. less - 29 uses.
568. dead - 29 uses.
569. state - 29 uses.
570. gun - 29 uses.
571. rock - 29 uses.
572. chance - 28 uses.
573. rather - 28 uses.
574. sell - 28 uses.
575. switch - 28 uses.
576. mother - 28 uses.
577. attention - 28 uses.
578. kinda - 28 uses.
579. season - 28 uses.
580. seem - 28 uses.
581. fresh - 28 uses.
582. shorty - 28 uses.
583. chain - 28 uses.
584. save - 28 uses.
585. plus - 28 uses.
586. enemies - 27 uses.
587. finally - 27 uses.
588. worry - 27 uses.
589. everywhere - 27 uses.
590. pray - 27 uses.
591. eat - 27 uses.
592. shoot - 27 uses.
593. full - 27 uses.
594. crew - 27 uses.
595. sun - 27 uses.
596. thousand - 27 uses.
597. thang - 27 uses.
598. case - 27 uses.
599. dick - 27 uses.
600. fireworks - 27 uses.
601. mi - 27 uses.
602. yuh - 27 uses.
603. hannening - 27 uses.
604. fell - 26 uses.
605. guys - 26 uses.
606. dream - 26 uses.
607. mention - 26 uses.
608. drive - 26 uses.
609. bo - 26 uses.
610. closer - 26 uses.
611. successful - 26 uses.
612. question - 26 uses.
613. daddy - 26 uses.
614. king - 26 uses.
615. point - 26 uses.
616. judge - 26 uses.
617. spot - 26 uses.
618. comes - 26 uses.
619. grammy - 26 uses.
620. condo - 26 uses.
621. today - 26 uses.
622. cool - 26 uses.
623. ways - 26 uses.
624. happy - 26 uses.
625. wake - 25 uses.
626. clean - 25 uses.
627. alive - 25 uses.
628. notice - 25 uses.
629. called - 25 uses.
630. laugh - 25 uses.
631. brother - 25 uses.
632. 40 - 25 uses.
633. hide - 25 uses.
634. seems - 25 uses.
635. heavy - 25 uses.
636. saw - 25 uses.
637. keys - 25 uses.
638. lies - 25 uses.
639. theyd - 25 uses.
640. michael - 25 uses.
641. shake - 25 uses.
642. ballin - 25 uses.
643. smokin - 25 uses.
644. la - 24 uses.
645. kids - 24 uses.
646. games - 24 uses.
647. sitting - 24 uses.
648. fight - 24 uses.
649. class - 24 uses.
650. records - 24 uses.
651. south - 24 uses.
652. red - 24 uses.
653. wrote - 24 uses.
654. places - 24 uses.
655. door - 24 uses.
656. proud - 24 uses.
657. lay - 24 uses.
658. spring - 24 uses.
659. anymore - 24 uses.
660. burn - 24 uses.
661. speak - 24 uses.
662. actin - 24 uses.
663. admit - 24 uses.
664. bar - 24 uses.
665. motherfucking - 24 uses.
666. grown - 24 uses.
667. felt - 24 uses.
668. few - 24 uses.
669. wine - 24 uses.
670. nails - 24 uses.
671. elses - 24 uses.
672. fans - 24 uses.
673. brea - 24 uses.
674. gangstas - 24 uses.
675. f-faded - 24 uses.
676. between - 23 uses.
677. rapper - 23 uses.
678. g - 23 uses.
679. meant - 23 uses.
680. text - 23 uses.
681. pen - 23 uses.
682. worst - 23 uses.
683. rollin - 23 uses.
684. makes - 23 uses.
685. respect - 23 uses.
686. dollars - 23 uses.
687. blowin - 23 uses.
688. having - 23 uses.
689. dough - 23 uses.
690. riding - 23 uses.
691. cup - 23 uses.
692. calling - 23 uses.
693. ugh - 23 uses.
694. higher - 23 uses.
695. rings - 23 uses.
696. loves - 23 uses.
697. figure - 23 uses.
698. theyll - 22 uses.
699. hype - 22 uses.
700. fallin - 22 uses.
701. liquor - 22 uses.
702. trippin - 22 uses.
703. dogs - 22 uses.
704. tour - 22 uses.
705. rain - 22 uses.
706. park - 22 uses.
707. numbers - 22 uses.
708. winter - 22 uses.
709. pass - 22 uses.
710. flows - 22 uses.
711. acting - 22 uses.
712. week - 22 uses.
713. nervous - 22 uses.
714. lady - 22 uses.
715. wall - 22 uses.
716. bands - 22 uses.
717. tat - 22 uses.
718. safe - 22 uses.
719. sense - 22 uses.
720. dad - 22 uses.
721. whenever - 22 uses.
722. watchin - 22 uses.
723. son - 22 uses.
724. exactly - 22 uses.
725. pictures - 22 uses.
726. faithful - 22 uses.
727. won - 22 uses.
728. yah - 22 uses.
729. happened - 21 uses.
730. doubt - 21 uses.
731. birthday - 21 uses.
732. wayne - 21 uses.
733. miami - 21 uses.
734. showin - 21 uses.
735. link - 21 uses.
736. everyone - 21 uses.
737. mistakes - 21 uses.
738. water - 21 uses.
739. couldve - 21 uses.
740. purpose - 21 uses.
741. pressure - 21 uses.
742. treat - 21 uses.
743. share - 21 uses.
744. studio - 21 uses.
745. sittin - 21 uses.
746. purple - 21 uses.
747. threw - 21 uses.
748. learn - 21 uses.
749. cover - 21 uses.
750. suh - 21 uses.
751. truck - 21 uses.
752. passionate - 21 uses.
753. i-i - 21 uses.
754. millions - 20 uses.
755. shoes - 20 uses.
756. wrist - 20 uses.
757. pretty - 20 uses.
758. mouth - 20 uses.
759. especially - 20 uses.
760. whose - 20 uses.
761. givin - 20 uses.
762. somewhere - 20 uses.
763. teach - 20 uses.
764. brought - 20 uses.
765. fit - 20 uses.
766. dumb - 20 uses.
767. honest - 20 uses.
768. gold - 20 uses.
769. droppin - 20 uses.
770. strong - 20 uses.
771. future - 20 uses.
772. wet - 20 uses.
773. kiss - 20 uses.
774. twice - 20 uses.
775. ex - 20 uses.
776. track - 20 uses.
777. married - 20 uses.
778. putting - 20 uses.
779. greatest - 20 uses.
780. pipe - 20 uses.
781. songs - 20 uses.
782. drinkin - 19 uses.
783. looks - 19 uses.
784. guy - 19 uses.
785. hits - 19 uses.
786. yet - 19 uses.
787. bottle - 19 uses.
788. shouldnt - 19 uses.
789. askin - 19 uses.
790. men - 19 uses.
791. sweet - 19 uses.
792. hurt - 19 uses.
793. step - 19 uses.
794. calm - 19 uses.
795. carry - 19 uses.
796. kept - 19 uses.
797. weed - 19 uses.
798. patience - 19 uses.
799. shine - 19 uses.
800. houston - 19 uses.
801. breaking - 19 uses.
802. death - 19 uses.
803. chick - 19 uses.
804. moving - 19 uses.
805. shell - 19 uses.
806. babe - 19 uses.
807. jordan - 19 uses.
808. stayed - 19 uses.
809. leg - 19 uses.
810. weve - 19 uses.
811. finished - 19 uses.
812. worried - 19 uses.
813. neck - 19 uses.
814. became - 19 uses.
815. zone - 19 uses.
816. camera - 19 uses.
817. leaving - 19 uses.
818. bitin - 19 uses.
819. ties - 18 uses.
820. asked - 18 uses.
821. glow - 18 uses.
822. trap - 18 uses.
823. dollar - 18 uses.
824. bury - 18 uses.
825. hang - 18 uses.
826. style - 18 uses.
827. position - 18 uses.
828. starts - 18 uses.
829. dress - 18 uses.
830. dem - 18 uses.
831. green - 18 uses.
832. afraid - 18 uses.
833. claim - 18 uses.
834. boss - 18 uses.
835. mall - 18 uses.
836. ends - 18 uses.
837. drunk - 18 uses.
838. strings - 18 uses.
839. movin - 18 uses.
840. bread - 18 uses.
841. win - 18 uses.
842. plans - 18 uses.
843. bass - 18 uses.
844. wop - 18 uses.
845. uh-huh - 18 uses.
846. bros - 18 uses.
847. salt - 18 uses.
848. speakers - 18 uses.
849. agree - 17 uses.
850. realize - 17 uses.
851. shows - 17 uses.
852. mirror - 17 uses.
853. early - 17 uses.
854. album - 17 uses.
855. movie - 17 uses.
856. serious - 17 uses.
857. glass - 17 uses.
858. college - 17 uses.
859. basement - 17 uses.
860. nowadays - 17 uses.
861. east - 17 uses.
862. seein - 17 uses.
863. racks - 17 uses.
864. heres - 17 uses.
865. gucci - 17 uses.
866. piece - 17 uses.
867. dinner - 17 uses.
868. ghost - 17 uses.
869. flight - 17 uses.
870. steady - 17 uses.
871. rolling - 17 uses.
872. order - 17 uses.
873. bottles - 17 uses.
874. smell - 17 uses.
875. played - 17 uses.
876. chicken - 17 uses.
877. beg - 17 uses.
878. build - 17 uses.
879. facts - 17 uses.
880. action - 17 uses.
881. missin - 17 uses.
882. moved - 17 uses.
883. lotta - 17 uses.
884. verses - 17 uses.
885. jackson - 17 uses.
886. paint - 17 uses.
887. spinnin - 17 uses.
888. fix - 16 uses.
889. choose - 16 uses.
890. anyway - 16 uses.
891. pool - 16 uses.
892. waste - 16 uses.
893. closed - 16 uses.
894. key - 16 uses.
895. afford - 16 uses.
896. southern - 16 uses.
897. convinced - 16 uses.
898. beautiful - 16 uses.
899. drinks - 16 uses.
900. store - 16 uses.
901. child - 16 uses.
902. read - 16 uses.
903. benz - 16 uses.
904. twenty - 16 uses.
905. hatin - 16 uses.
906. shits - 16 uses.
907. prove - 16 uses.
908. dying - 16 uses.
909. space - 16 uses.
910. burning - 16 uses.
911. pour - 16 uses.
912. patient - 16 uses.
913. memphis - 16 uses.
914. certain - 16 uses.
915. video - 16 uses.
916. legend - 16 uses.
917. dig - 16 uses.
918. lead - 16 uses.
919. kickin - 16 uses.
920. f - 16 uses.
921. oh-whoa - 16 uses.
922. satisfied - 16 uses.
923. months - 16 uses.
924. gyal - 16 uses.
925. waitin - 16 uses.
926. ms - 16 uses.
927. throwin - 16 uses.
928. rip - 16 uses.
929. spent - 16 uses.
930. almost - 16 uses.
931. drugs - 16 uses.
932. legit - 16 uses.
933. 21 - 16 uses.
934. keeps - 16 uses.
935. shirt - 15 uses.
936. thatll - 15 uses.
937. price - 15 uses.
938. drinking - 15 uses.
939. window - 15 uses.
940. faces - 15 uses.
941. knock - 15 uses.
942. standing - 15 uses.
943. stupid - 15 uses.
944. such - 15 uses.
945. lifestyle - 15 uses.
946. crack - 15 uses.
947. moves - 15 uses.
948. rules - 15 uses.
949. trouble - 15 uses.
950. sent - 15 uses.
951. handle - 15 uses.
952. range - 15 uses.
953. distance - 15 uses.
954. honey - 15 uses.
955. book - 15 uses.
956. credit - 15 uses.
957. louis - 15 uses.
958. sign - 15 uses.
959. accept - 15 uses.
960. rappin - 15 uses.
961. great - 15 uses.
962. chest - 15 uses.
963. freak - 15 uses.
964. prolly - 15 uses.
965. jeans - 15 uses.
966. realest - 15 uses.
967. mr - 15 uses.
968. table - 15 uses.
969. hotel - 15 uses.
970. slowly - 15 uses.
971. sold - 15 uses.
972. diss - 15 uses.
973. wear - 15 uses.
974. chubbs - 15 uses.
975. miles - 15 uses.
976. luck - 15 uses.
977. layin - 15 uses.
978. private - 15 uses.
979. race - 15 uses.
980. soldier - 15 uses.
981. code - 15 uses.
982. empty - 14 uses.
983. hearts - 14 uses.
984. waited - 14 uses.
985. hop - 14 uses.
986. building - 14 uses.
987. strip - 14 uses.
988. pole - 14 uses.
989. barely - 14 uses.
990. spit - 14 uses.
991. extra - 14 uses.
992. ago - 14 uses.
993. staring - 14 uses.
994. bunch - 14 uses.
995. become - 14 uses.
996. seat - 14 uses.
997. plane - 14 uses.
998. lesson - 14 uses.
999. message - 14 uses.
1000. kitchen - 14 uses.
1001. emotions - 14 uses.
1002. quiet - 14 uses.
1003. dropped - 14 uses.
1004. favorite - 14 uses.
1005. vegas - 14 uses.
1006. texas - 14 uses.
1007. remind - 14 uses.
1008. super - 14 uses.
1009. stress - 14 uses.
1010. bars - 14 uses.
1011. forward - 14 uses.
1012. shoulda - 14 uses.
1013. forgive - 14 uses.
1014. fear - 14 uses.
1015. cake - 14 uses.
1016. older - 14 uses.
1017. joke - 14 uses.
1018. toronto - 14 uses.
