Most used words by MUNA: 
Number of songs scanned: 37

741. threesomes - 1 use.
742. running - 1 use.
743. patterns - 1 use.
744. decisions - 1 use.
745. sit - 1 use.
746. smoke - 1 use.
747. ground - 1 use.
748. beside - 1 use.
749. pool - 1 use.
750. stardust - 1 use.
751. obsessed - 1 use.
752. hooked - 1 use.
753. heroin - 1 use.
754. all-time - 1 use.
755. lcd - 1 use.
756. speaker - 1 use.
757. expecting - 1 use.
758. band - 1 use.
759. freaked - 1 use.
760. commit - 1 use.
761. aunts - 1 use.
762. depend - 1 use.
763. sex - 1 use.
764. sadistic - 1 use.
765. stranger - 1 use.
766. pretend - 1 use.
767. deepest - 1 use.
768. admit - 1 use.
769. quit - 1 use.
770. addict - 1 use.
771. finally - 1 use.
772. zen - 1 use.
773. motorcycle - 1 use.
774. maintenance - 1 use.
775. clean - 1 use.
776. mystery - 1 use.
777. jesus - 1 use.
778. metaphor - 1 use.
779. reflection - 1 use.
780. resignation - 1 use.
781. recitation - 1 use.
782. songs - 1 use.
783. less - 1 use.
784. sing-along - 1 use.
785. kind - 1 use.
786. requiem - 1 use.
787. performance - 1 use.
788. source - 1 use.
789. stems - 1 use.
790. lifted - 1 use.
791. downtown - 1 use.
792. lipstick - 1 use.
793. brush - 1 use.
794. anxious - 1 use.
795. cvs - 1 use.
796. round - 1 use.
797. halfway - 1 use.
798. aisle - 1 use.
799. camera - 1 use.
800. smile - 1 use.
801. wants - 1 use.
802. actually - 1 use.
803. front - 1 use.
804. lawn - 1 use.
805. fork - 1 use.
806. roads - 1 use.
807. lead - 1 use.
808. might - 1 use.
809. selfish - 1 use.
810. lied - 1 use.
811. treated - 1 use.
812. hadnt - 1 use.
813. believing - 1 use.
814. dramatic - 1 use.
815. misstep - 1 use.
816. doorstep - 1 use.
817. forgiveness - 1 use.
818. unhappy - 1 use.
819. protection - 1 use.
820. imagination - 1 use.
821. wasted - 1 use.
822. teach - 1 use.
823. lesson - 1 use.
824. learned - 1 use.
825. hurts - 1 use.
826. silenced - 1 use.
827. delusion - 1 use.
828. shut - 1 use.
829. revolution - 1 use.
830. swear - 1 use.
831. irony - 1 use.
832. humbled - 1 use.
833. brought - 1 use.
834. arizona - 1 use.
835. pack - 1 use.
836. vacant - 1 use.
837. tangled - 1 use.
838. thoughts - 1 use.
839. suburbia - 1 use.
840. senses - 1 use.
841. changed - 1 use.
842. lines - 1 use.
843. streetlights - 1 use.
844. stands - 1 use.
845. candle - 1 use.
846. performed - 1 use.
847. holy - 1 use.
848. rite - 1 use.
849. hang - 1 use.
850. altar - 1 use.
851. civilian - 1 use.
852. idling - 1 use.
853. understand - 1 use.
854. gone - 1 use.
855. civilized - 1 use.
856. shift - 1 use.
857. paradigm - 1 use.
858. spinning - 1 use.
859. assumption - 1 use.
860. gravity - 1 use.
861. knowing - 1 use.
862. full - 1 use.
863. care - 1 use.
864. honeydew - 1 use.
865. dare - 1 use.
866. ooh-ooh - 1 use.
867. ooh-whoa - 1 use.
868. amazed - 1 use.
869. likes - 1 use.
870. strangers - 1 use.
871. telephone - 1 use.
872. believed - 1 use.
873. born - 1 use.
874. heres - 1 use.
875. strong - 1 use.
876. shoes - 1 use.
877. stick - 1 use.
878. gavin - 1 use.
