Most used words by Pavement: 
Number of songs scanned: 130

557. soap - 4 uses.
558. john - 4 uses.
559. cheeks - 4 uses.
560. grouped - 4 uses.
561. active - 4 uses.
562. match - 3 uses.
563. heard - 3 uses.
564. forgot - 3 uses.
565. rose - 3 uses.
566. insane - 3 uses.
567. awesome - 3 uses.
568. praise - 3 uses.
569. texas - 3 uses.
570. week - 3 uses.
571. steve - 3 uses.
572. recede - 3 uses.
573. kitchen - 3 uses.
574. shape - 3 uses.
575. pick - 3 uses.
576. danger - 3 uses.
577. giant - 3 uses.
578. broken - 3 uses.
579. gross - 3 uses.
580. kiss - 3 uses.
581. blame - 3 uses.
582. chew - 3 uses.
583. tie-ins - 3 uses.
584. plans - 3 uses.
585. savoir - 3 uses.
586. low - 3 uses.
587. needed - 3 uses.
588. news - 3 uses.
589. being - 3 uses.
590. men - 3 uses.
591. netherland - 3 uses.
592. beads - 3 uses.
593. plugs - 3 uses.
594. without - 3 uses.
595. socket - 3 uses.
596. moon - 3 uses.
597. laugh - 3 uses.
598. butts - 3 uses.
599. somebody - 3 uses.
600. ship - 3 uses.
601. grave - 3 uses.
602. architecture - 3 uses.
603. pocket - 3 uses.
604. drugs - 3 uses.
605. however - 3 uses.
606. whats - 3 uses.
607. honey - 3 uses.
608. catch - 3 uses.
609. leaves - 3 uses.
610. traced - 3 uses.
611. tainted - 3 uses.
612. shut - 3 uses.
613. clue - 3 uses.
614. count - 3 uses.
615. read - 3 uses.
616. lights - 3 uses.
617. til - 3 uses.
618. thoughts - 3 uses.
619. blues - 3 uses.
620. top - 3 uses.
621. hill - 3 uses.
622. roof - 3 uses.
623. north - 3 uses.
624. spies - 3 uses.
625. epileptic - 3 uses.
626. reeling - 3 uses.
627. parking - 3 uses.
628. kick - 3 uses.
629. build - 3 uses.
630. taste - 3 uses.
631. slim - 3 uses.
632. ropes - 3 uses.
633. keeper - 3 uses.
634. fingers - 3 uses.
635. meal - 3 uses.
636. washes - 3 uses.
637. cigar - 3 uses.
638. delta - 3 uses.
639. most - 3 uses.
640. thank - 3 uses.
641. dying - 3 uses.
642. fire - 3 uses.
643. sink - 3 uses.
644. blood - 3 uses.
645. skinny - 3 uses.
646. join - 3 uses.
647. saint - 3 uses.
648. spin - 3 uses.
649. throw - 3 uses.
650. fruit - 3 uses.
651. moneys - 3 uses.
652. done - 3 uses.
653. rooms - 3 uses.
654. sever - 3 uses.
655. sad - 3 uses.
656. pay - 3 uses.
657. snort - 3 uses.
658. follow - 3 uses.
659. pretty - 3 uses.
660. lying - 3 uses.
661. belong - 3 uses.
662. bleeding - 3 uses.
663. east - 3 uses.
664. penitentiary - 3 uses.
