Most used words by Nirvana: 
Number of songs scanned: 131

637. rest - 3 uses.
638. trend - 3 uses.
639. sheep - 3 uses.
640. zip - 3 uses.
641. sense - 3 uses.
642. message - 3 uses.
643. saviors - 3 uses.
644. favors - 3 uses.
645. razor - 3 uses.
646. because - 3 uses.
647. japhy - 3 uses.
648. sitting - 3 uses.
649. drank - 3 uses.
650. leaving - 3 uses.
651. float - 3 uses.
652. blanket - 3 uses.
653. cigarette - 3 uses.
654. truth - 3 uses.
655. ugly - 3 uses.
656. mirrors - 3 uses.
657. mornin - 3 uses.
658. candles - 3 uses.
659. daze - 3 uses.
660. break - 3 uses.
661. flowers - 3 uses.
662. mold - 3 uses.
663. taste - 3 uses.
664. glow - 3 uses.
665. hearing - 3 uses.
666. sticky - 3 uses.
667. boredom - 3 uses.
668. difference - 3 uses.
669. seem - 3 uses.
670. most - 3 uses.
671. wet - 3 uses.
672. nurse - 3 uses.
673. act - 3 uses.
674. voice - 3 uses.
675. since - 3 uses.
676. anymore - 3 uses.
677. wondering - 3 uses.
678. fade - 3 uses.
679. servant - 3 uses.
680. seemed - 3 uses.
681. minds - 3 uses.
682. later - 3 uses.
683. real - 3 uses.
684. tensions - 3 uses.
685. hungry - 3 uses.
686. degrade - 3 uses.
687. lifes - 3 uses.
688. résumé - 3 uses.
689. credentials - 3 uses.
690. freaking - 3 uses.
691. white - 3 uses.
692. against - 3 uses.
693. sentence - 3 uses.
694. holy - 3 uses.
695. mop - 3 uses.
696. finished - 3 uses.
697. work - 3 uses.
698. others - 3 uses.
699. witch - 3 uses.
700. legendary - 3 uses.
701. divorce - 3 uses.
702. bore - 3 uses.
703. bones - 3 uses.
704. tonight - 3 uses.
705. writing - 3 uses.
706. ends - 3 uses.
707. silent - 3 uses.
708. fine - 3 uses.
709. season - 3 uses.
710. waste - 3 uses.
711. emotion - 3 uses.
712. cannot - 3 uses.
713. formulate - 3 uses.
714. infinity - 3 uses.
715. deep - 3 uses.
716. concern - 3 uses.
717. knowing - 3 uses.
718. silly - 3 uses.
719. seamy - 3 uses.
720. saw - 3 uses.
721. paint - 3 uses.
722. crowd - 3 uses.
723. stance - 3 uses.
724. sigh - 3 uses.
725. warm - 3 uses.
726. jesus - 3 uses.
727. sunbeam - 3 uses.
728. sunbeams - 3 uses.
729. reasons - 3 uses.
730. crawl - 3 uses.
731. cleaning - 3 uses.
732. lady - 3 uses.
733. blue - 3 uses.
734. trust - 3 uses.
735. arrest - 3 uses.
736. wear - 3 uses.
737. shield - 3 uses.
738. rules - 3 uses.
739. girl—ahh - 3 uses.
740. dropped - 3 uses.
741. joes - 3 uses.
742. screamed - 3 uses.
743. mashed - 3 uses.
744. potatoes - 3 uses.
745. stuff - 3 uses.
746. bike - 3 uses.
747. ice - 3 uses.
748. tv - 3 uses.
749. lifestyle - 3 uses.
750. comfortable - 3 uses.
751. arts - 3 uses.
752. crafts - 3 uses.
753. seashells - 3 uses.
754. swap - 3 uses.
755. battleground - 3 uses.
756. cigarettes - 3 uses.
757. photographs - 3 uses.
758. bitterness - 3 uses.
759. win - 3 uses.
760. medication - 3 uses.
761. greener - 3 uses.
762. fog - 3 uses.
763. re-inventing - 3 uses.
764. feels - 3 uses.
765. weeks - 3 uses.
766. bleeds - 3 uses.
767. fucks - 3 uses.
768. leaves - 3 uses.
769. reads - 3 uses.
770. draws - 3 uses.
771. sleeps - 3 uses.
772. ah - 3 uses.
773. infection - 3 uses.
774. floor - 3 uses.
775. gay - 3 uses.
776. freezer - 3 uses.
777. ashes - 3 uses.
778. takes - 3 uses.
779. week - 3 uses.
780. stand - 3 uses.
781. fuck - 3 uses.
782. dollar - 3 uses.
783. preacher - 3 uses.
784. buffys - 3 uses.
785. pregnant - 3 uses.
786. future - 3 uses.
787. class - 3 uses.
788. debate - 3 uses.
789. nicest - 3 uses.
790. games - 3 uses.
791. verbal - 3 uses.
792. scream - 3 uses.
793. queen - 3 uses.
794. clock - 3 uses.
795. six - 3 uses.
796. pictures - 3 uses.
797. row - 3 uses.
798. marigold - 3 uses.
799. green - 3 uses.
800. move - 3 uses.
801. coming - 3 uses.
802. confess - 3 uses.
803. drippings - 3 uses.
804. city - 3 uses.
805. talking - 3 uses.
