Most used words by  Microwave: 
Number of songs scanned: 41

610. scented - 1 uses.
611. trash - 1 uses.
612. bag - 1 uses.
613. scope - 1 uses.
614. dried-up - 1 uses.
615. wet - 1 uses.
616. chalk - 1 uses.
617. washed - 1 uses.
618. torn - 1 uses.
619. disaffected - 1 uses.
620. femme - 1 uses.
621. fatale - 1 uses.
622. coke-glittered - 1 uses.
623. dress - 1 uses.
624. trade - 1 uses.
625. hat - 1 uses.
626. pack - 1 uses.
627. newports - 1 uses.
628. depressed - 1 uses.
629. cut - 1 uses.
630. kept - 1 uses.
631. cryptic - 1 uses.
632. loud - 1 uses.
633. flat - 1 uses.
634. fever - 1 uses.
635. breaks - 1 uses.
636. started - 1 uses.
637. crowd - 1 uses.
638. surrounded - 1 uses.
639. approve - 1 uses.
640. taste - 1 uses.
641. art - 1 uses.
642. sex - 1 uses.
643. lying - 1 uses.
644. sat - 1 uses.
645. basement - 1 uses.
646. wrongs - 1 uses.
647. quit - 1 uses.
648. four - 1 uses.
649. ashamed - 1 uses.
650. admit - 1 uses.
651. mud - 1 uses.
652. closin - 1 uses.
653. sense - 1 uses.
654. disappeared - 1 uses.
655. purse - 1 uses.
656. drugs - 1 uses.
657. whatevers - 1 uses.
658. lie - 1 uses.
659. makin - 1 uses.
660. rang - 1 uses.
661. doorbell - 1 uses.
662. pieces - 1 uses.
663. walkway - 1 uses.
664. plants - 1 uses.
665. laughed - 1 uses.
666. menacing - 1 uses.
667. tore - 1 uses.
668. keyed - 1 uses.
669. spite - 1 uses.
670. we’re - 1 uses.
671. sofa - 1 uses.
672. regular - 1 uses.
673. casanova - 1 uses.
674. happened - 1 uses.
675. unanswered - 1 uses.
676. messages - 1 uses.
677. pushing - 1 uses.
678. “dear - 1 uses.
679. john - 1 uses.
680. sorry - 1 uses.
681. car” - 1 uses.
682. doorway - 1 uses.
683. seconds - 1 uses.
684. fireball - 1 uses.
685. whiskey - 1 uses.
686. weekend - 1 uses.
687. warriors - 1 uses.
688. monday - 1 uses.
689. tuesday - 1 uses.
690. wednesday - 1 uses.
691. dismembered - 1 uses.
692. climbing - 1 uses.
693. grady - 1 uses.
694. peeing - 1 uses.
695. couple - 1 uses.
696. limbs - 1 uses.
697. straws - 1 uses.
698. free - 1 uses.
699. men - 1 uses.
700. seven - 1 uses.
701. farther - 1 uses.
702. realized - 1 uses.
703. goes - 1 uses.
704. cannot - 1 uses.
705. centrefold - 1 uses.
706. poster - 1 uses.
707. child - 1 uses.
708. biggest - 1 uses.
709. tools - 1 uses.
710. caption - 1 uses.
711. disappointing - 1 uses.
712. douche - 1 uses.
713. tito - 1 uses.
714. says - 1 uses.
715. pool - 1 uses.
716. stretched - 1 uses.
717. across - 1 uses.
718. waving - 1 uses.
719. starting - 1 uses.
720. question - 1 uses.
721. much - 1 uses.
722. one-word - 1 uses.
723. answered - 1 uses.
724. brand - 1 uses.
725. otherwise - 1 uses.
726. words - 1 uses.
727. busy - 1 uses.
728. pretend - 1 uses.
729. crashed - 1 uses.
730. breathing - 1 uses.
731. stepped - 1 uses.
732. dick - 1 uses.
733. cheeks - 1 uses.
734. insurance - 1 uses.
735. pay - 1 uses.
736. number - 1 uses.
737. friday - 1 uses.
738. leaving - 1 uses.
739. lamp - 1 uses.
740. afford - 1 uses.
741. expensive - 1 uses.
742. pictures - 1 uses.
743. pregnant - 1 uses.
744. throat - 1 uses.
745. collapsed - 1 uses.
746. bit - 1 uses.
747. type - 1 uses.
748. degree - 1 uses.
749. 60 - 1 uses.
750. week - 1 uses.
751. kicking - 1 uses.
752. cup - 1 uses.
753. riled - 1 uses.
754. bar - 1 uses.
755. smiling - 1 uses.
756. hazel - 1 uses.
757. promise - 1 uses.
758. beside - 1 uses.
759. dark - 1 uses.
760. trip - 1 uses.
761. ways - 1 uses.
762. quiet - 1 uses.
763. mornings - 1 uses.
764. stood - 1 uses.
765. claim - 1 uses.
766. loaned - 1 uses.
767. fog - 1 uses.
768. ice - 1 uses.
769. beautiful - 1 uses.
770. paychecks - 1 uses.
771. liqour - 1 uses.
772. store - 1 uses.
773. plastic - 1 uses.
774. shed - 1 uses.
775. armful - 1 uses.
776. booze - 1 uses.
777. worthless - 1 uses.
778. deserve - 1 uses.
779. pheromones - 1 uses.
780. brought - 1 uses.
781. horoscopes - 1 uses.
782. astrology - 1 uses.
783. load - 1 uses.
784. watching - 1 uses.
785. cues - 1 uses.
786. moves - 1 uses.
787. meet - 1 uses.
788. bathtub - 1 uses.
789. sigh - 1 uses.
790. groaning - 1 uses.
791. single - 1 uses.
792. hallway - 1 uses.
793. pompous - 1 uses.
794. friends; - 1 uses.
795. lean - 1 uses.
796. nobody - 1 uses.
797. soothing - 1 uses.
798. ruins - 1 uses.
799. miserable - 1 uses.
800. comforting - 1 uses.
801. weed - 1 uses.
802. imma - 1 uses.
803. washing - 1 uses.
804. dishes - 1 uses.
805. 40 - 1 uses.
806. kidneys - 1 uses.
807. caked - 1 uses.
808. both - 1 uses.
809. mecca - 1 uses.
810. property - 1 uses.
811. value - 1 uses.
812. became - 1 uses.
813. asses - 1 uses.
814. track - 1 uses.
815. awful - 1 uses.
816. scrambled - 1 uses.
817. names - 1 uses.
818. burned - 1 uses.
819. piston - 1 uses.
820. rings - 1 uses.
821. pulled - 1 uses.
822. beaters - 1 uses.
823. vin - 1 uses.
824. ripped - 1 uses.
825. license - 1 uses.
826. plate - 1 uses.
827. poured - 1 uses.
828. most - 1 uses.
829. sunburnt - 1 uses.
830. tongues - 1 uses.
831. songs - 1 uses.
832. theyd - 1 uses.
833. sung - 1 uses.
834. twisted - 1 uses.
835. salt - 1 uses.
836. water - 1 uses.
837. foam - 1 uses.
838. sea - 1 uses.
839. grief - 1 uses.
840. shined - 1 uses.
841. woke - 1 uses.
842. radio - 1 uses.
843. 25 - 1 uses.
844. woman - 1 uses.
845. fractured - 1 uses.
846. spine - 1 uses.
847. paralyzed - 1 uses.
848. fire - 1 uses.
849. conscience - 1 uses.
850. sleeps - 1 uses.
851. half-gallon - 1 uses.
852. beneath - 1 uses.
853. pipes - 1 uses.
854. brief - 1 uses.
855. stopped - 1 uses.
856. parts - 1 uses.
857. cared - 1 uses.
858. failure; - 1 uses.
859. expected - 1 uses.
860. upfront - 1 uses.
861. pride - 1 uses.
862. inching - 1 uses.
863. brick - 1 uses.
864. wall - 1 uses.
865. movie - 1 uses.
866. cleverly - 1 uses.
867. lives - 1 uses.
868. zoom - 1 uses.
869. chain-smoking - 1 uses.
870. blunts - 1 uses.
871. junk - 1 uses.
872. mark - 1 uses.
873. evenings - 1 uses.
874. belong - 1 uses.
875. blending - 1 uses.
876. fair - 1 uses.
877. faded - 1 uses.
878. little-collared - 1 uses.
879. itching - 1 uses.
880. remove - 1 uses.
881. whimpers - 1 uses.
882. roommates - 1 uses.
883. crude - 1 uses.
884. humans - 1 uses.
885. record - 1 uses.
886. screaming - 1 uses.
887. hed - 1 uses.
888. novelty - 1 uses.
889. toying - 1 uses.
890. complicate - 1 uses.
891. self-respect - 1 uses.
892. oak - 1 uses.
893. worked - 1 uses.
894. roots - 1 uses.
895. grow - 1 uses.
896. must - 1 uses.
897. dug - 1 uses.
898. suspension - 1 uses.
899. bridge - 1 uses.
900. chaining - 1 uses.
901. pigs - 1 uses.
902. locked - 1 uses.
903. werent - 1 uses.
904. tough - 1 uses.
905. circled - 1 uses.
906. pitchforks - 1 uses.
907. yelling - 1 uses.
908. tolerance - 1 uses.
909. well-swept - 1 uses.
910. path - 1 uses.
911. shrine - 1 uses.
912. resentment - 1 uses.
913. rough - 1 uses.
914. hand - 1 uses.
915. dealt - 1 uses.
916. recirculating - 1 uses.
917. worry - 1 uses.
918. holding - 1 uses.
919. onto - 1 uses.
920. pain - 1 uses.
921. slightest - 1 uses.
922. smallest - 1 uses.
923. incredible - 1 uses.
924. yellow - 1 uses.
925. instant - 1 uses.
926. sixty-five - 1 uses.
927. twenty-five - 1 uses.
928. mile - 1 uses.
929. accident - 1 uses.
930. authentic - 1 uses.
931. joking - 1 uses.
932. meant - 1 uses.
933. seriously - 1 uses.
934. wasnt - 1 uses.
935. listening - 1 uses.
936. clung - 1 uses.
937. forgetting - 1 uses.
938. riding - 1 uses.
939. sails - 1 uses.
940. foreplay - 1 uses.
941. disappear - 1 uses.
942. theyll - 1 uses.
943. climb - 1 uses.
944. stuck - 1 uses.
945. facing - 1 uses.
946. heads - 1 uses.
947. victims - 1 uses.
948. boundless - 1 uses.
949. virtuosity - 1 uses.
950. flaws - 1 uses.
951. jaws - 1 uses.
952. driving - 1 uses.
953. wedge - 1 uses.
954. any - 1 uses.
955. favors - 1 uses.
956. owe - 1 uses.
957. thrown - 1 uses.
958. piled - 1 uses.
959. justify - 1 uses.
960. born - 1 uses.
961. lusts - 1 uses.
962. musk - 1 uses.
963. wood - 1 uses.
964. trapped - 1 uses.
965. airs - 1 uses.
966. desperately - 1 uses.
967. scooped - 1 uses.
968. untouched - 1 uses.
969. poor - 1 uses.
970. short - 1 uses.
971. attention - 1 uses.
972. span - 1 uses.
973. concentrate - 1 uses.
974. read - 1 uses.
975. successful - 1 uses.
976. grass - 1 uses.
977. stains - 1 uses.
978. brit - 1 uses.
979. khaki - 1 uses.
980. nice - 1 uses.
981. cool - 1 uses.
982. seemed - 1 uses.
983. ate - 1 uses.
984. lunch - 1 uses.
985. six - 1 uses.
986. fearless - 1 uses.
987. fighter - 1 uses.
988. today - 1 uses.
989. accepted - 1 uses.
990. moonlight - 1 uses.
991. pines - 1 uses.
992. win - 1 uses.
993. field - 1 uses.
994. shoot - 1 uses.
995. can; - 1 uses.
996. hands - 1 uses.
997. resistant - 1 uses.
998. speeding - 1 uses.
999. worst - 1 uses.
1000. footnote - 1 uses.
1001. page - 1 uses.
1002. reads - 1 uses.
1003. representation - 1 uses.
1004. refuse - 1 uses.
1005. glove - 1 uses.
1006. happy - 1 uses.
1007. scared - 1 uses.
1008. smell - 1 uses.
1009. sweat - 1 uses.
1010. act - 1 uses.
1011. strong - 1 uses.
1012. bedroom - 1 uses.
1013. petty - 1 uses.
1014. lies - 1 uses.
1015. hopelessness - 1 uses.
1016. disguise - 1 uses.
1017. bitch - 1 uses.
1018. havent - 1 uses.
1019. others - 1 uses.
1020. articles - 1 uses.
1021. shallow - 1 uses.
1022. magazines - 1 uses.
1023. flailing - 1 uses.
1024. cracks - 1 uses.
1025. taped-up - 1 uses.
1026. somethings - 1 uses.
1027. happening - 1 uses.
1028. trembling - 1 uses.
1029. stalling - 1 uses.
1030. rusty - 1 uses.
1031. hammers - 1 uses.
1032. base - 1 uses.
1033. golden - 1 uses.
1034. throne - 1 uses.
1035. sculpted - 1 uses.
1036. archetypal - 1 uses.
1037. villain - 1 uses.
1038. childrens - 1 uses.
1039. stories - 1 uses.
1040. liked - 1 uses.
1041. insincere - 1 uses.
1042. spoke - 1 uses.
1043. fucking - 1 uses.
1044. clenching - 1 uses.
1045. jaw - 1 uses.
1046. calm - 1 uses.
1047. benzo - 1 uses.
1048. elavil - 1 uses.
1049. rot - 1 uses.
1050. scripts - 1 uses.
1051. scare - 1 uses.
1052. tactics - 1 uses.
1053. spots - 1 uses.
1054. ba-da-da-daa - 1 uses.
1055. angel - 1 uses.
1056. thinking - 1 uses.
1057. hairs - 1 uses.
1058. soft - 1 uses.
1059. sinking - 1 uses.
1060. sell - 1 uses.
1061. green - 1 uses.
1062. mining - 1 uses.
1063. ashtrays - 1 uses.
1064. shelf - 1 uses.
1065. slow - 1 uses.
1066. rock - 1 uses.
1067. rye - 1 uses.
1068. wide-awake - 1 uses.
1069. chip - 1 uses.
1070. shoulder - 1 uses.
1071. living - 1 uses.
1072. guard - 1 uses.
1073. needed - 1 uses.
1074. deep - 1 uses.
1075. cushions - 1 uses.
1076. dead - 1 uses.
1077. cave - 1 uses.
1078. fade - 1 uses.
1079. point - 1 uses.
1080. harder - 1 uses.
1081. stroke - 1 uses.
1082. blank - 1 uses.
1083. everybody - 1 uses.
1084. bleeds - 1 uses.
1085. stops - 1 uses.
1086. speaks - 1 uses.
1087. conquered - 1 uses.
1088. place - 1 uses.
1089. thumb - 1 uses.
1090. catches - 1 uses.
1091. breeze - 1 uses.
1092. cars - 1 uses.
1093. fly - 1 uses.
1094. stand - 1 uses.
1095. interstate - 1 uses.
1096. blows - 1 uses.
1097. body - 1 uses.
1098. aches - 1 uses.
1099. understand - 1 uses.
1100. heartbeat - 1 uses.
1101. mantra - 1 uses.
1102. disagrees - 1 uses.
1103. shrink - 1 uses.
1104. atrophy - 1 uses.
1105. spend - 1 uses.
1106. eternity - 1 uses.
1107. wandering - 1 uses.
1108. distant - 1 uses.
1109. cloud - 1 uses.
1110. victors - 1 uses.
1111. crown - 1 uses.
1112. sounds - 1 uses.
1113. unfolding - 1 uses.
1114. tides - 1 uses.
1115. chose - 1 uses.
1116. truth - 1 uses.
1117. ugly - 1 uses.
1118. honesty - 1 uses.
1119. insensitive - 1 uses.
1120. conscious - 1 uses.
1121. filled - 1 uses.
