Most used words by Watsky: 
Number of songs scanned: 117

583. dropped - 8 uses.
584. bullshit - 8 uses.
585. understand - 8 uses.
586. spin - 8 uses.
587. toes - 8 uses.
588. war - 8 uses.
589. crazy - 8 uses.
590. pray - 8 uses.
591. underground - 8 uses.
592. saved - 8 uses.
593. help - 8 uses.
594. bro - 8 uses.
595. fingers - 8 uses.
596. lovely - 8 uses.
597. lucky - 8 uses.
598. stage - 8 uses.
599. strip - 8 uses.
600. choose - 8 uses.
601. view - 8 uses.
602. between - 8 uses.
603. crew - 8 uses.
604. pushing - 8 uses.
605. send - 8 uses.
606. saw - 8 uses.
607. arms - 8 uses.
608. smell - 8 uses.
609. forest - 8 uses.
610. leftovers - 8 uses.
611. picture - 8 uses.
612. close - 8 uses.
613. teeth - 8 uses.
614. cheap - 8 uses.
615. kicked - 8 uses.
616. waiting - 8 uses.
617. 1 - 8 uses.
618. sticking - 8 uses.
619. shining - 8 uses.
620. ear - 8 uses.
621. roses - 8 uses.
622. color - 8 uses.
623. tough - 8 uses.
624. cheese - 8 uses.
625. cake - 8 uses.
626. midnight - 8 uses.
627. aok - 8 uses.
628. yep - 8 uses.
629. warm - 8 uses.
630. sleep - 7 uses.
631. pity - 7 uses.
632. beautiful - 7 uses.
633. hundred - 7 uses.
634. drive - 7 uses.
635. twist - 7 uses.
636. simple - 7 uses.
637. fail - 7 uses.
638. chase - 7 uses.
639. both - 7 uses.
640. trust - 7 uses.
641. wild - 7 uses.
642. francisco - 7 uses.
643. babe - 7 uses.
644. everybodys - 7 uses.
645. admit - 7 uses.
646. become - 7 uses.
647. imagine - 7 uses.
648. worlds - 7 uses.
649. very - 7 uses.
650. building - 7 uses.
651. onto - 7 uses.
652. upon - 7 uses.
653. miss - 7 uses.
654. nobody - 7 uses.
655. guitar - 7 uses.
656. raise - 7 uses.
657. crap - 7 uses.
658. robot - 7 uses.
659. pot - 7 uses.
660. nuts - 7 uses.
661. digging - 7 uses.
662. hoping - 7 uses.
663. bill - 7 uses.
664. climb - 7 uses.
