Most used words by dodie: 
Number of songs scanned: 104

532. bet - 4 uses.
533. telling - 4 uses.
534. idea - 4 uses.
535. looking - 4 uses.
536. begging - 4 uses.
537. ink - 4 uses.
538. hadnt - 4 uses.
539. dumb - 4 uses.
540. begin - 4 uses.
541. loud - 4 uses.
542. blind - 4 uses.
543. bath - 4 uses.
544. fingers - 4 uses.
545. book - 4 uses.
546. shit - 4 uses.
547. alive - 4 uses.
548. tastes - 4 uses.
549. santa - 4 uses.
550. ears - 4 uses.
551. devil - 4 uses.
552. partyyyyy - 4 uses.
553. shall - 4 uses.
554. deal - 4 uses.
555. gives - 4 uses.
556. able - 4 uses.
557. alice - 4 uses.
558. certainly - 4 uses.
559. numb - 4 uses.
560. heres - 4 uses.
561. liquid - 4 uses.
562. havent - 4 uses.
563. aroo-doo-do-to - 4 uses.
564. women - 4 uses.
565. sandwich - 4 uses.
566. jumpers - 4 uses.
567. art - 4 uses.
568. music - 4 uses.
569. cut - 4 uses.
570. overly - 4 uses.
571. passionate - 4 uses.
572. gravity - 4 uses.
573. intergalactic - 4 uses.
574. static - 4 uses.
575. bedroooooom - 4 uses.
576. baby - 4 uses.
577. arrow - 4 uses.
578. speech - 4 uses.
579. sharpened - 4 uses.
580. monsters - 4 uses.
581. dreams - 3 uses.
582. aching - 3 uses.
583. sharp - 3 uses.
584. fairy - 3 uses.
585. whatever - 3 uses.
586. cartoon - 3 uses.
587. asked - 3 uses.
588. soul - 3 uses.
589. minutes - 3 uses.
590. fact - 3 uses.
591. memories - 3 uses.
592. ago - 3 uses.
593. wearing - 3 uses.
594. tommy - 3 uses.
595. rivers - 3 uses.
596. lifts - 3 uses.
597. intertwined - 3 uses.
598. hello - 3 uses.
599. planned - 3 uses.
600. vital - 3 uses.
601. charm - 3 uses.
602. chew - 3 uses.
603. memory - 3 uses.
604. fool - 3 uses.
605. fish - 3 uses.
606. sea - 3 uses.
607. tree - 3 uses.
608. waves - 3 uses.
609. clear - 3 uses.
610. lies - 3 uses.
611. bloody - 3 uses.
612. reminder - 3 uses.
613. patience - 3 uses.
614. funny - 3 uses.
615. arent - 3 uses.
616. admit - 3 uses.
617. confused - 3 uses.
618. nightmare - 3 uses.
619. crush - 3 uses.
620. aim - 3 uses.
621. friday - 3 uses.
622. sir - 3 uses.
623. stoked - 3 uses.
624. coloured - 3 uses.
