Most used words by Underoath: 
Number of songs scanned: 96

527. бог - 4 uses.
528. retrace - 4 uses.
529. insides - 3 uses.
530. helpless - 3 uses.
531. loved - 3 uses.
532. rape - 3 uses.
533. fate - 3 uses.
534. prayers - 3 uses.
535. facing - 3 uses.
536. losing - 3 uses.
537. kind - 3 uses.
538. sense - 3 uses.
539. fast - 3 uses.
540. plan - 3 uses.
541. knees - 3 uses.
542. everyday - 3 uses.
543. nothings - 3 uses.
544. near - 3 uses.
545. harder - 3 uses.
546. cloud - 3 uses.
547. pages - 3 uses.
548. growing - 3 uses.
549. bitter - 3 uses.
550. aside - 3 uses.
551. guess - 3 uses.
552. felt - 3 uses.
553. kids - 3 uses.
554. killing - 3 uses.
555. box - 3 uses.
556. cancer - 3 uses.
557. throw - 3 uses.
558. climb - 3 uses.
559. sold - 3 uses.
560. feast - 3 uses.
561. panic - 3 uses.
562. virus - 3 uses.
563. tomorrow - 3 uses.
564. fail - 3 uses.
565. drown - 3 uses.
566. nights - 3 uses.
567. soon - 3 uses.
568. morning - 3 uses.
569. remains - 3 uses.
570. heaven - 3 uses.
571. unhappy - 3 uses.
572. tryin - 3 uses.
573. anyway - 3 uses.
574. cord - 3 uses.
575. choke - 3 uses.
576. second - 3 uses.
577. blow - 3 uses.
578. spoken - 3 uses.
579. beautiful - 3 uses.
580. died - 3 uses.
581. havent - 3 uses.
582. ours - 3 uses.
583. victims - 3 uses.
584. baby - 3 uses.
585. grow - 3 uses.
586. hearts - 3 uses.
587. hang - 3 uses.
588. legs - 3 uses.
589. webs - 3 uses.
590. rapture - 3 uses.
591. higher - 3 uses.
592. blaze - 3 uses.
593. chained - 3 uses.
594. lips - 3 uses.
595. gas - 3 uses.
596. joy - 3 uses.
597. angel - 3 uses.
598. dragged - 3 uses.
599. bout - 3 uses.
600. faced - 3 uses.
601. swallow - 3 uses.
602. fire - 3 uses.
603. burns - 3 uses.
604. clearer - 3 uses.
605. fly - 3 uses.
606. grip - 3 uses.
607. step - 3 uses.
