Most used words by Alt-J: 
Number of songs scanned: 51

990. leaves - 1 use.
991. sway - 1 use.
992. stretch - 1 use.
993. themselves - 1 use.
994. dragonflies - 1 use.
995. dart - 1 use.
996. fro - 1 use.
997. tie - 1 use.
998. balloon - 1 use.
999. submarines - 1 use.
1000. loops - 1 use.
1001. feeble - 1 use.
1002. dawn - 1 use.
1003. breaks - 1 use.
1004. grasp - 1 use.
1005. blink - 1 use.
1006. constricts - 1 use.
1007. ocean - 1 use.
1008. finds - 1 use.
1009. bearings - 1 use.
1010. sucking - 1 use.
1011. splash - 1 use.
1012. tall - 1 use.
1013. pylons - 1 use.
1014. wrap - 1 use.
1015. necks - 1 use.
1016. feckless - 1 use.
1017. steepled - 1 use.
1018. leaders - 1 use.
1019. jumpers - 1 use.
1020. fist - 1 use.
1021. scissors - 1 use.
1022. lingered - 1 use.
1023. fluffers - 1 use.
1024. require - 1 use.
1025. hoof - 1 use.
1026. heartland - 1 use.
1027. tent - 1 use.
1028. treasure - 1 use.
1029. leisure - 1 use.
1030. aaaah - 1 use.
1031. ooooooh - 1 use.
1032. blended - 1 use.
1033. lights - 1 use.
1034. lose - 1 use.
1035. touch - 1 use.
1036. lego - 1 use.
1037. pillowed - 1 use.
1038. week - 1 use.
1039. asleep - 1 use.
1040. nights - 1 use.
1041. glass - 1 use.
1042. scattered - 1 use.
1043. truths - 1 use.
1044. bewildered - 1 use.
1045. beast - 1 use.
1046. boohoos - 1 use.
1047. ladybirds - 1 use.
1048. guard - 1 use.
1049. spells - 1 use.
1050. shadow - 1 use.
1051. burns - 1 use.
1052. across - 1 use.
1053. embers - 1 use.
1054. space - 1 use.
1055. l-shaped - 1 use.
1056. tetris - 1 use.
1057. tile - 1 use.
1058. seeking - 1 use.
1059. fit - 1 use.
1060. alien - 1 use.
1061. ak - 1 use.
1062. twenty - 1 use.
1063. 47 - 1 use.
1064. civilian - 1 use.
1065. fuse - 1 use.
1066. petrol - 1 use.
1067. blues - 1 use.
1068. saut - 1 use.
1069. vide - 1 use.
1070. prize - 1 use.
1071. front - 1 use.
1072. boning - 1 use.
1073. aslan - 1 use.
1074. unpin - 1 use.
1075. russia - 1 use.
1076. deer - 1 use.
1077. nara - 1 use.
1078. elle - 1 use.
1079. a﻿ - 1 use.
1080. cela - 1 use.
1081. vient - 1 use.
1082. cetirizine - 1 use.
1083. fevers - 1 use.
1084. kisses—all - 1 use.
1085. send - 1 use.
1086. weep - 1 use.
1087. bruises - 1 use.
1088. coughs - 1 use.
1089. splutters - 1 use.
1090. pistol - 1 use.
1091. shots - 1 use.
1092. morphine - 1 use.
1093. vaccine - 1 use.
1094. germolene - 1 use.
1095. disinfect - 1 use.
1096. february - 1 use.
1097. felt - 1 use.
1098. july - 1 use.
1099. wiping - 1 use.
1100. skull - 1 use.
1101. visited - 1 use.
1102. special - 1 use.
1103. augustus - 1 use.
1104. stabilised - 1 use.
1105. pain - 1 use.
1106. relieving - 1 use.
1107. diazepam - 1 use.
1108. floats - 1 use.
1109. october - 1 use.
1110. swam - 1 use.
1111. firework - 1 use.
1112. display - 1 use.
1113. cafeteria - 1 use.
1114. funeral - 1 use.
1115. moon - 1 use.
1116. shaped - 1 use.
1117. velvet - 1 use.
1118. cell - 1 use.
1119. reading - 1 use.
1120. welcome - 1 use.
1121. leather - 1 use.
1122. slings - 1 use.
1123. oxygen - 1 use.
1124. masks - 1 use.
1125. half - 1 use.
1126. magic - 1 use.
1127. brooms - 1 use.
1128. wands - 1 use.
1129. pairs - 1 use.
1130. people - 1 use.
1131. tugging - 1 use.
1132. hungry - 1 use.
1133. bone - 1 use.
1134. slithering - 1 use.
1135. wizards - 1 use.
1136. scissoring - 1 use.
1137. rise - 1 use.
1138. gloom - 1 use.
1139. matters - 1 use.
