Most used words by  PUP: 
Number of songs scanned: 46

754. clear - 1 uses.
755. gin - 1 uses.
756. reminiscing - 1 uses.
757. dreams - 1 uses.
758. none - 1 uses.
759. rise - 1 uses.
760. blind - 1 uses.
761. nighttime - 1 uses.
762. childhood - 1 uses.
763. schoolyard - 1 uses.
764. breathing - 1 uses.
765. air - 1 uses.
766. probably - 1 uses.
767. changed - 1 uses.
768. camping - 1 uses.
769. porch - 1 uses.
770. suburbs - 1 uses.
771. faces - 1 uses.
772. dreamt - 1 uses.
773. montreal - 1 uses.
774. apparently - 1 uses.
775. blur - 1 uses.
776. float - 1 uses.
777. edge - 1 uses.
778. searching - 1 uses.
779. few - 1 uses.
780. creation - 1 uses.
781. vegan - 1 uses.
782. meditation - 1 uses.
783. produce - 1 uses.
784. section - 1 uses.
785. buying - 1 uses.
786. organic - 1 uses.
787. making - 1 uses.
788. healthy - 1 uses.
789. selections - 1 uses.
790. asked - 1 uses.
791. masochistic - 1 uses.
792. somehow - 1 uses.
793. yet - 1 uses.
794. explodes - 1 uses.
795. highlights - 1 uses.
796. televised - 1 uses.
797. mid-september - 1 uses.
798. element - 1 uses.
799. building - 1 uses.
800. pass - 1 uses.
801. turning - 1 uses.
802. swimming - 1 uses.
803. focus - 1 uses.
804. cheeks - 1 uses.
805. mouth - 1 uses.
806. poison - 1 uses.
807. fire - 1 uses.
808. habit - 1 uses.
809. takin - 1 uses.
810. advantage - 1 uses.
811. wouldnt - 1 uses.
812. december - 1 uses.
813. cutting - 1 uses.
814. jacket - 1 uses.
815. drift - 1 uses.
816. boulevard - 1 uses.
817. creeping - 1 uses.
818. n - 1 uses.
819. lord - 1 uses.
820. worn - 1 uses.
821. faint - 1 uses.
822. bullshit - 1 uses.
823. damn - 1 uses.
824. bummer - 1 uses.
825. waste - 1 uses.
826. energy - 1 uses.
827. following - 1 uses.
828. familiar - 1 uses.
829. patterns - 1 uses.
830. ruin - 1 uses.
831. serious - 1 uses.
832. douche - 1 uses.
833. chills - 1 uses.
834. humour - 1 uses.
835. situation - 1 uses.
836. knocking - 1 uses.
837. jell-o - 1 uses.
838. shooters - 1 uses.
839. puked - 1 uses.
840. kitchen - 1 uses.
841. biting - 1 uses.
842. tongues - 1 uses.
843. quit - 1 uses.
844. job - 1 uses.
845. flowing - 1 uses.
846. dull - 1 uses.
847. precision - 1 uses.
848. nauseous - 1 uses.
849. handcuffed - 1 uses.
850. lack - 1 uses.
851. daytime - 1 uses.
852. television - 1 uses.
853. dividing - 1 uses.
854. prism - 1 uses.
855. thousand - 1 uses.
856. individual - 1 uses.
857. parts - 1 uses.
858. process - 1 uses.
859. smoke - 1 uses.
860. cleared - 1 uses.
861. certain - 1 uses.
862. goner - 1 uses.
863. table - 1 uses.
864. wires - 1 uses.
865. cables - 1 uses.
866. longer - 1 uses.
867. darkened - 1 uses.
868. depleted - 1 uses.
869. crying - 1 uses.
870. disguise - 1 uses.
871. tendency - 1 uses.
872. separate - 1 uses.
873. desperate - 1 uses.
874. lo-fi - 1 uses.
875. stop - 1 uses.
876. rotting - 1 uses.
877. negative - 1 uses.
878. telling - 1 uses.
879. near - 1 uses.
880. omg - 1 uses.
881. grind - 1 uses.
882. practice - 1 uses.
883. speech - 1 uses.
884. thank - 1 uses.
885. academy - 1 uses.
886. productive - 1 uses.
887. sane - 1 uses.
888. hows - 1 uses.
889. trait - 1 uses.
890. reckless - 1 uses.
891. control - 1 uses.
892. self-sabotage - 1 uses.
893. serves - 1 uses.
894. legitimize - 1 uses.
895. flaws - 1 uses.
896. built - 1 uses.
897. sneaking - 1 uses.
898. bloody - 1 uses.
899. factory - 1 uses.
900. plan - 1 uses.
901. jealous - 1 uses.
902. leaving - 1 uses.
903. play - 1 uses.
904. seek - 1 uses.
905. creek - 1 uses.
906. overpass - 1 uses.
907. factories - 1 uses.
908. concerned - 1 uses.
909. slip - 1 uses.
910. track - 1 uses.
911. theyll - 1 uses.
912. shave - 1 uses.
913. hair - 1 uses.
914. shine - 1 uses.
