Most used words by Turnover: 
Number of songs scanned: 57

993. mortar - 1 use.
994. ground - 1 use.
995. trembles - 1 use.
996. crashing - 1 use.
997. liar - 1 use.
998. fool - 1 use.
999. deceit - 1 use.
1000. prison - 1 use.
1001. pray - 1 use.
1002. confess - 1 use.
1003. uncomprehensive - 1 use.
1004. complex - 1 use.
1005. verse - 1 use.
1006. brother - 1 use.
1007. ghosts - 1 use.
1008. fucked - 1 use.
1009. carcinogenic - 1 use.
1010. fled - 1 use.
1011. succeed - 1 use.
1012. continue - 1 use.
1013. known - 1 use.
1014. fucking - 1 use.
1015. kid - 1 use.
1016. occasion - 1 use.
1017. noticing - 1 use.
1018. wearing - 1 use.
1019. temperature - 1 use.
1020. soon - 1 use.
1021. busy - 1 use.
1022. nine - 1 use.
1023. name… - 1 use.
1024. analyze - 1 use.
1025. remind - 1 use.
1026. saying - 1 use.
1027. subtly - 1 use.
1028. electricity - 1 use.
1029. traveling - 1 use.
1030. spine - 1 use.
1031. sensation - 1 use.
1032. expanding - 1 use.
1033. stillframe - 1 use.
1034. summers - 1 use.
1035. ago - 1 use.
1036. gray - 1 use.
1037. corner - 1 use.
1038. south - 1 use.
1039. street - 1 use.
1040. jefferson - 1 use.
1041. knowing - 1 use.
1042. ripped - 1 use.
1043. counted - 1 use.
1044. drops - 1 use.
1045. ran - 1 use.
1046. danced - 1 use.
1047. ursa - 1 use.
1048. major - 1 use.
1049. skin - 1 use.
1050. breeze - 1 use.
1051. gently - 1 use.
1052. bad - 1 use.
1053. full - 1 use.
1054. lovin - 1 use.
1055. captivated - 1 use.
1056. earn - 1 use.
1057. understand - 1 use.
1058. learn - 1 use.
1059. quickly - 1 use.
1060. unless - 1 use.
1061. opportunity - 1 use.
1062. lose - 1 use.
1063. betrayed - 1 use.
1064. guessing - 1 use.
1065. twenty - 1 use.
1066. odd - 1 use.
1067. plates - 1 use.
1068. anxious - 1 use.
1069. draw - 1 use.
1070. straight - 1 use.
1071. easily - 1 use.
1072. perception - 1 use.
1073. wasnt - 1 use.
1074. drift - 1 use.
1075. rift - 1 use.
1076. float - 1 use.
1077. pleasant - 1 use.
1078. feed - 1 use.
1079. bleakness - 1 use.
1080. bliss - 1 use.
1081. created - 1 use.
1082. “why - 1 use.
1083. instead” - 1 use.
1084. “no - 1 use.
1085. anyway” - 1 use.
1086. bottled - 1 use.
1087. sixteens - 1 use.
1088. inch - 1 use.
1089. disappear - 1 use.
