Most used words by Bleachers: 
Number of songs scanned: 39

846. four - 1 use.
847. five - 1 use.
848. barely - 1 use.
849. survived - 1 use.
850. ghost - 1 use.
851. hole - 1 use.
852. save - 1 use.
853. pretty - 1 use.
854. catch - 1 use.
855. shell - 1 use.
856. fake - 1 use.
857. met - 1 use.
858. seemed - 1 use.
859. children - 1 use.
860. straight - 1 use.
861. yayayayayay - 1 use.
862. lalalalala - 1 use.
863. holes - 1 use.
864. actually - 1 use.
865. rare - 1 use.
866. moments - 1 use.
867. brilliant - 1 use.
868. woo - 1 use.
869. lalalala - 1 use.
870. lalala - 1 use.
871. lala - 1 use.
872. 1 - 1 use.
873. 2 - 1 use.
874. 3 - 1 use.
875. 4 - 1 use.
876. calling - 1 use.
877. television - 1 use.
878. weather - 1 use.
879. trained - 1 use.
880. froze - 1 use.
881. between - 1 use.
882. hearses - 1 use.
883. caskets - 1 use.
884. panicked - 1 use.
885. acid - 1 use.
886. test - 1 use.
887. losing - 1 use.
888. blaze - 1 use.
889. counting - 1 use.
890. seconds - 1 use.
891. cars - 1 use.
892. loss - 1 use.
893. permanent - 1 use.
894. interstate - 1 use.
895. sleeping - 1 use.
896. taxi - 1 use.
897. kill - 1 use.
898. early - 1 use.
899. family - 1 use.
900. show - 1 use.
901. shoulda - 1 use.
902. crash - 1 use.
903. looked - 1 use.
904. teenage - 1 use.
905. everyday - 1 use.
906. lovers - 1 use.
907. shot - 1 use.
908. gun - 1 use.
909. bones - 1 use.
910. traveled - 1 use.
911. stole - 1 use.
912. lit - 1 use.
913. hundred - 1 use.
914. miles - 1 use.
915. hour - 1 use.
916. dirt - 1 use.
