Most used words by Dodie: 
Number of songs scanned: 104

934. firm - 2 uses.
935. sang - 2 uses.
936. learn - 2 uses.
937. nobody - 2 uses.
938. thousand - 2 uses.
939. message - 2 uses.
940. fragile - 2 uses.
941. point - 2 uses.
942. invite - 2 uses.
943. reasons - 2 uses.
944. mostly - 2 uses.
945. complain - 2 uses.
946. keys - 2 uses.
947. albums - 2 uses.
948. pjs - 2 uses.
949. disguise - 2 uses.
950. scars - 2 uses.
951. lady - 2 uses.
952. choose - 2 uses.
953. hurts - 2 uses.
954. guessing - 2 uses.
955. horns - 2 uses.
956. rotted - 2 uses.
957. easily - 2 uses.
958. passion - 2 uses.
959. twists - 2 uses.
960. bitch - 2 uses.
961. listens - 2 uses.
962. ends - 2 uses.
963. plug - 2 uses.
964. white - 2 uses.
965. couple - 2 uses.
966. won - 2 uses.
967. fly - 2 uses.
968. midnight - 2 uses.
969. compare - 2 uses.
970. wonderful - 2 uses.
971. lead - 2 uses.
972. stone - 2 uses.
973. honey - 2 uses.
974. bow - 2 uses.
975. moved - 2 uses.
976. dare - 2 uses.
977. rip - 2 uses.
978. six - 2 uses.
979. panic - 2 uses.
980. uneasy - 2 uses.
981. bring - 2 uses.
982. bones - 2 uses.
983. five - 2 uses.
984. stains - 2 uses.
985. deep - 2 uses.
986. skies - 2 uses.
987. hopeful - 2 uses.
988. kid - 2 uses.
989. genetic - 2 uses.
990. burden - 2 uses.
991. birthday - 2 uses.
992. cake - 2 uses.
993. purple - 2 uses.
994. cheekbones - 2 uses.
995. hidden - 2 uses.
996. gulp - 2 uses.
997. gasp - 2 uses.
998. refreshed - 2 uses.
999. palm - 2 uses.
1000. pad - 2 uses.
1001. easiest - 2 uses.
1002. antisocial - 2 uses.
1003. lazy - 2 uses.
1004. self - 2 uses.
1005. stepped - 2 uses.
1006. flames - 2 uses.
1007. control - 2 uses.
1008. video - 2 uses.
1009. army - 2 uses.
1010. cameras - 2 uses.
1011. swell - 2 uses.
1012. insides - 2 uses.
1013. barbecue - 2 uses.
1014. begun - 2 uses.
1015. singular - 2 uses.
1016. smooth - 2 uses.
1017. bottle - 2 uses.
1018. shiver - 2 uses.
1019. age-old - 2 uses.
1020. tongue - 2 uses.
1021. notice - 2 uses.
1022. spit - 2 uses.
1023. demand - 2 uses.
1024. needs - 2 uses.
1025. chill - 2 uses.
1026. seal - 2 uses.
1027. missed - 2 uses.
1028. distracted - 2 uses.
1029. wishing - 2 uses.
1030. painted - 2 uses.
1031. brighter - 2 uses.
1032. teach - 2 uses.
1033. kissing - 2 uses.
1034. faking - 2 uses.
1035. diary - 2 uses.
1036. entries - 2 uses.
1037. sixteen - 2 uses.
1038. land - 2 uses.
1039. strength - 2 uses.
1040. fifty - 2 uses.
1041. mood - 2 uses.
1042. jealous - 2 uses.
1043. knots - 2 uses.
1044. soften - 2 uses.
1045. search - 2 uses.
1046. leaning - 2 uses.
1047. pulled - 2 uses.
1048. finding - 2 uses.
1049. ooooooooooooooooo - 2 uses.
1050. messed - 2 uses.
1051. shining - 2 uses.
1052. everybody - 2 uses.
1053. galaxy - 2 uses.
1054. leap - 2 uses.
1055. spaceship - 2 uses.
1056. passenger - 2 uses.
1057. seat - 2 uses.
1058. dust - 2 uses.
1059. comfort - 2 uses.
1060. ideas - 2 uses.
1061. careful - 2 uses.
1062. wished - 2 uses.
1063. coated - 2 uses.
1064. smoke - 2 uses.
1065. choke - 2 uses.
1066. joking - 2 uses.
1067. stereotypes - 2 uses.
1068. raining - 2 uses.
1069.  - 2 uses.
1070. advice - 2 uses.
1071. perhaps - 2 uses.
1072. very - 2 uses.
1073. arm - 2 uses.
1074. circles - 2 uses.
1075. married - 2 uses.
1076. risk - 2 uses.
1077. questions - 2 uses.
1078. wake - 2 uses.
1079. king - 2 uses.
1080. hill - 2 uses.
1081. blues - 2 uses.
1082. brand - 2 uses.
1083. anywhere - 2 uses.
1084. tinsel - 2 uses.
1085. ninth - 2 uses.
1086. carols - 2 uses.
1087. spirit - 2 uses.
1088. spice-milled - 2 uses.
1089. wine - 2 uses.
1090. toy - 2 uses.
1091. hopes - 2 uses.
1092. annoyed - 2 uses.
1093. stereotype - 2 uses.
1094. second - 2 uses.
1095. crushed - 2 uses.
1096. chilly - 2 uses.
1097. constantly - 2 uses.
1098. suit - 2 uses.
1099. juuuul - 2 uses.
1100. crystallized… - 2 uses.
1101. water - 2 uses.
1102. child - 2 uses.
1103. lives - 2 uses.
1104. died - 2 uses.
1105. strings - 2 uses.
1106. features - 2 uses.
1107. willing - 2 uses.
1108. compete - 2 uses.
1109. track - 2 uses.
1110. pull - 2 uses.
1111. grit - 2 uses.
1112. followed - 2 uses.
1113. empire - 2 uses.
1114. balloon - 2 uses.
1115. joke - 2 uses.
1116. everythings - 2 uses.
1117. training - 2 uses.
1118. wouldve - 2 uses.
1119. jack - 2 uses.
1120. sammy - 2 uses.
1121. lift - 2 uses.
1122. dan - 2 uses.
1123. known - 2 uses.
1124. drawing - 2 uses.
1125. blinds - 2 uses.
1126. poor - 2 uses.
1127. whirring - 2 uses.
1128. image - 2 uses.
1129. soothe - 2 uses.
