Most used words by EDEN: 
Number of songs scanned: 82

508. thinks - 3 uses.
509. says - 3 uses.
510. strong - 3 uses.
511. advice - 3 uses.
512. looked - 3 uses.
513. crying - 3 uses.
514. staring - 3 uses.
515. laying - 3 uses.
516. pride - 3 uses.
517. both - 3 uses.
518. kinda - 3 uses.
519. album - 3 uses.
520. probably - 3 uses.
521. small - 3 uses.
522. finished - 3 uses.
523. confusing - 3 uses.
524. luck - 3 uses.
525. worse - 3 uses.
526. hindsight - 3 uses.
527. precious - 3 uses.
528. slipping - 3 uses.
529. stressed - 3 uses.
530. needing - 3 uses.
531. fuckin - 3 uses.
532. nowhere - 3 uses.
533. human - 3 uses.
534. breath - 3 uses.
535. addicted - 3 uses.
536. trauma - 3 uses.
537. although - 3 uses.
538. fading - 3 uses.
539. beat - 3 uses.
540. falls - 3 uses.
541. tears - 3 uses.
542. guts - 3 uses.
543. brighter - 3 uses.
544. heartbeat - 3 uses.
545. rising - 3 uses.
546. single - 3 uses.
547. track - 3 uses.
548. phase - 3 uses.
549. novocain - 3 uses.
550. airways - 3 uses.
551. hearing - 3 uses.
552. million - 3 uses.
553. vision - 3 uses.
554. wide - 3 uses.
555. system - 3 uses.
556. might - 3 uses.
557. wash - 3 uses.
558. shining - 3 uses.
559. notice - 3 uses.
560. headlines - 3 uses.
561. follow - 3 uses.
562. bend - 3 uses.
563. guide - 3 uses.
564. forgetting - 3 uses.
565. counting - 3 uses.
566. patience - 3 uses.
567. ocean - 3 uses.
568. changed - 3 uses.
569. hell - 3 uses.
570. broke - 3 uses.
571. violent - 3 uses.
572. aw - 3 uses.
573. listen - 3 uses.
574. wondering - 3 uses.
575. lifeline - 3 uses.
576. listened - 3 uses.
577. view - 3 uses.
578. earth - 3 uses.
579. below - 3 uses.
580. chase - 3 uses.
581. lately - 3 uses.
582. sunset - 3 uses.
583. faded - 3 uses.
584. wasted - 3 uses.
585. aftermath - 3 uses.
586. darkness - 3 uses.
587. bury - 3 uses.
588. everythings - 3 uses.
589. exists - 3 uses.
590. low - 3 uses.
591. eighteen - 3 uses.
592. sink - 3 uses.
593. wish - 3 uses.
594. couple - 3 uses.
595. bad - 3 uses.
596. quickly - 3 uses.
597. ahead - 3 uses.
598. hurting - 3 uses.
599. ridiculous - 3 uses.
600. road - 3 uses.
601. build - 3 uses.
602. draw - 3 uses.
603. getting - 3 uses.
604. hurts - 3 uses.
605. starting - 3 uses.
606. bound - 3 uses.
607. burnt - 3 uses.
608. terms - 3 uses.
609. crush - 3 uses.
610. 2016 - 3 uses.
611. streamed - 3 uses.
612. credits - 3 uses.
613. london - 3 uses.
614. happen - 3 uses.
615. trigger - 3 uses.
616. fingers - 3 uses.
617. pull - 3 uses.
618. forced - 3 uses.
619. smiles - 3 uses.
620. favours - 3 uses.
621. begin - 3 uses.
622. stare - 3 uses.
623. funny - 3 uses.
624. walk - 3 uses.
625. happy - 3 uses.
626. fires - 3 uses.
627. tired - 3 uses.
628. car - 3 uses.
629. rock - 3 uses.
630. hate - 3 uses.
631. dropping - 3 uses.
632. honesty - 3 uses.
633. movies - 3 uses.
634. great - 3 uses.
635. getaway - 3 uses.
636. tomorrow - 3 uses.
637. mile - 3 uses.
638. today - 3 uses.
639. goodbye - 3 uses.
640. drawn - 3 uses.
641. eden - 3 uses.
642. suddenly - 3 uses.
643. manager - 3 uses.
644. forward - 3 uses.
645. woke - 3 uses.
646. dig - 3 uses.
647. safe - 3 uses.
648. cost - 3 uses.
649. bruh - 3 uses.
650. tout - 3 uses.
651. bien - 3 uses.
652. comme - 3 uses.
653. bruyantes/brillantes - 3 uses.
654. stuck - 3 uses.
655. statue - 3 uses.
656. acting - 3 uses.
657. deserve - 3 uses.
658. self-destruction - 3 uses.
659. oxygen - 3 uses.
660. final - 3 uses.
661. conscience - 3 uses.
662. downfall - 2 uses.
663. talks - 2 uses.
664. guessing - 2 uses.
665. jump - 2 uses.
666. defy - 2 uses.
667. turnpike - 2 uses.
668. 140 - 2 uses.
669. guard - 2 uses.
670. rails - 2 uses.
671. loving - 2 uses.
672. asleep - 2 uses.
673. steps - 2 uses.
674. less - 2 uses.
675. soldier - 2 uses.
676. strange - 2 uses.
677. memories - 2 uses.
678. given - 2 uses.
679. follows - 2 uses.
680. stops - 2 uses.
681. faking - 2 uses.
682. scene - 2 uses.
683. caused - 2 uses.
684. dreamed - 2 uses.
685. dance - 2 uses.
686. girls - 2 uses.
687. forty - 2 uses.
688. twice - 2 uses.
689. wed - 2 uses.
690. showed - 2 uses.
691. stood - 2 uses.
692. room - 2 uses.
693. roof - 2 uses.
694. spoke - 2 uses.
695. meant - 2 uses.
696. kept - 2 uses.
697. sex - 2 uses.
698. catching - 2 uses.
699. choices - 2 uses.
700. putting - 2 uses.
701. interview - 2 uses.
702. asked - 2 uses.
703. fully - 2 uses.
704. finishing - 2 uses.
705. york - 2 uses.
706. answers - 2 uses.
707. zone - 2 uses.
708. touring - 2 uses.
709. very - 2 uses.
710. tour - 2 uses.
711. sitting - 2 uses.
712. beside - 2 uses.
713. moments - 2 uses.
714. quite - 2 uses.
715. spread - 2 uses.
716. finding - 2 uses.
717. bridges - 2 uses.
718. wouldve - 2 uses.
719. trouble - 2 uses.
720. 2020 - 2 uses.
721. checked - 2 uses.
722. blindside - 2 uses.
723. daylight - 2 uses.
724. yesterdays - 2 uses.
725. misguided - 2 uses.
726. sliding - 2 uses.
727. heels - 2 uses.
728. worn - 2 uses.
729. messed - 2 uses.
730. somebody - 2 uses.
731. mixed - 2 uses.
732. plaited - 2 uses.
733. waterfalls - 2 uses.
734. song - 2 uses.
735. bout - 2 uses.
736. search - 2 uses.
737. figured - 2 uses.
738. missed - 2 uses.
739. drama - 2 uses.
740. signs - 2 uses.
741. gets - 2 uses.
742. loop - 2 uses.
743. leap - 2 uses.
744. godspeed - 2 uses.
745. edge - 2 uses.
746. burned - 2 uses.
747. soaking - 2 uses.
748. stopped - 2 uses.
749. reasons - 2 uses.
750. youll– - 2 uses.
751. white - 2 uses.
752. lies - 2 uses.
753. won - 2 uses.
754. slipped - 2 uses.
755. gray - 2 uses.
756. movement - 2 uses.
757. riding - 2 uses.
758. tryna - 2 uses.
759. six - 2 uses.
760. america - 2 uses.
761. streets - 2 uses.
762. sleeping - 2 uses.
763. open - 2 uses.
764. deep - 2 uses.
765. plan - 2 uses.
766. bittersweet - 2 uses.
767. wanting - 2 uses.
768. shoulder - 2 uses.
769. act - 2 uses.
770. liquor - 2 uses.
771. sense - 2 uses.
772. backwards - 2 uses.
773. stuff - 2 uses.
774. bleed - 2 uses.
775. fail - 2 uses.
776. forgotten - 2 uses.
777. threw - 2 uses.
778. waste - 2 uses.
779. dive - 2 uses.
780. weekend - 2 uses.
781. shore - 2 uses.
782. spoken - 2 uses.
783. savior - 2 uses.
784. nascar - 2 uses.
785. racing - 2 uses.
786. starlight - 2 uses.
787. yes - 2 uses.
788. town - 2 uses.
789. choice - 2 uses.
790. form - 2 uses.
791. immolate - 2 uses.
792. colours - 2 uses.
793. cope - 2 uses.
794. mamma - 2 uses.
795. big - 2 uses.
796. deal - 2 uses.
797. nobodys - 2 uses.
798. four - 2 uses.
799. ride - 2 uses.
800. shines - 2 uses.
801. beyond - 2 uses.
802. belief - 2 uses.
803. lure - 2 uses.
804. liquid - 2 uses.
805. confidence - 2 uses.
806. skydive - 2 uses.
807. screamin - 2 uses.
808. boy - 2 uses.
809. hurry - 2 uses.
810. youd - 2 uses.
811. anymore - 2 uses.
812. leading - 2 uses.
813. anywhere - 2 uses.
814. above - 2 uses.
815. current - 2 uses.
816. pulled - 2 uses.
817. pace - 2 uses.
818. unsure - 2 uses.
819. imagined - 2 uses.
820. dazed - 2 uses.
821. drank - 2 uses.
822. firefight - 2 uses.
823. thered - 2 uses.
824. dmt - 2 uses.
825. abandon - 2 uses.
826. in-front - 2 uses.
827. spaces - 2 uses.
828. flight - 2 uses.
829. reach - 2 uses.
830. exhale - 2 uses.
831. translation - 2 uses.
832. number - 2 uses.
833. giving - 2 uses.
834. bed - 2 uses.
835. write - 2 uses.
836. moment - 2 uses.
837. wouldnt - 2 uses.
838. weight - 2 uses.
839. throwing - 2 uses.
840. static - 2 uses.
841. anyone - 2 uses.
842. met - 2 uses.
843. paths - 2 uses.
844. split - 2 uses.
845. weird - 2 uses.
846. loss - 2 uses.
847. tryin - 2 uses.
848. cigarette - 2 uses.
849. heads - 2 uses.
850. lows - 2 uses.
851. highs - 2 uses.
852. pain - 2 uses.
853. shadows - 2 uses.
854. across - 2 uses.
855. saved - 2 uses.
856. kill - 2 uses.
857. killing - 2 uses.
858. raining - 2 uses.
859. 5 - 2 uses.
860. clouds - 2 uses.
861. mistake - 2 uses.
862. false - 2 uses.
863. faces - 2 uses.
864. whisper - 2 uses.
865. gladly - 2 uses.
866. ransom - 2 uses.
867. hypothetical - 2 uses.
868. digging - 2 uses.
869. slayed - 2 uses.
870. demons - 2 uses.
871. recurring - 2 uses.
872. happening - 2 uses.
873. tearing - 2 uses.
874. seams - 2 uses.
875. reality - 2 uses.
876. disappears - 2 uses.
877. nightmares - 2 uses.
878. silver - 2 uses.
879. linings - 2 uses.
880. other - 2 uses.
881. snow - 2 uses.
882. disappearing - 2 uses.
883. screams - 2 uses.
884. conversating - 2 uses.
885. smile - 2 uses.
886. anyhow - 2 uses.
887. reverse - 2 uses.
888. teeth - 2 uses.
889. halfway - 2 uses.
890. ton - 2 uses.
891. project - 2 uses.
892. 2 - 2 uses.
893. ideas - 2 uses.
894. eventually - 2 uses.
895. arguments - 2 uses.
896. crossroads - 2 uses.
897. flip - 2 uses.
898. endgame - 2 uses.
899. wrapped - 2 uses.
900. midnight - 2 uses.
901. habits - 2 uses.
902. scars - 2 uses.
903. bruises - 2 uses.
904. ya - 2 uses.
905. flash - 2 uses.
906. especially - 2 uses.
907. lyings - 2 uses.
908. rush - 2 uses.
909. minute - 2 uses.
910. falter - 2 uses.
911. crumbling - 2 uses.
912. fell - 2 uses.
913. spite - 2 uses.
914. sea - 2 uses.
915. sinatra - 2 uses.
916. stone - 2 uses.
917. roll - 2 uses.
918. pictures - 2 uses.
919. belated - 2 uses.
920. waist - 2 uses.
921. tangled - 2 uses.
922. backseat - 2 uses.
923. meltin - 2 uses.
924. taxi - 2 uses.
925. spinnin - 2 uses.
926. ashes - 2 uses.
927. fit - 2 uses.
928. kick - 2 uses.
929. clothes - 2 uses.
930. sold - 2 uses.
931. bits - 2 uses.
932. passed - 2 uses.
933. echoes - 2 uses.
934. versions - 2 uses.
935. version - 2 uses.
936. waves - 2 uses.
937. escapes - 2 uses.
938. beats - 2 uses.
939. computer - 2 uses.
940. put - 2 uses.
941. early - 2 uses.
942. released - 2 uses.
943. 2015 - 2 uses.
944. career - 2 uses.
945. definitely - 2 uses.
946. team - 2 uses.
947. allowed - 2 uses.
948. friend - 2 uses.
949. tonne - 2 uses.
950. ballast - 2 uses.
951. inhale - 2 uses.
952. dies - 2 uses.
953. grip - 2 uses.
954. cascading - 2 uses.
955. blunt - 2 uses.
956. wasting - 2 uses.
957. drag - 2 uses.
958. swimming - 2 uses.
959. uphill - 2 uses.
960. kids - 2 uses.
961. fun - 2 uses.
962. water - 2 uses.
963. windows - 2 uses.
964. patterns - 2 uses.
