Most used words by  Foxing: 
Number of songs scanned: 49

634. tapant - 1 uses.
635. cendres - 1 uses.
636. pierres - 1 uses.
637. tombales - 1 uses.
638. photos - 1 uses.
639. épinglées - 1 uses.
640. babillards - 1 uses.
641. cessant - 1 uses.
642. suivre - 1 uses.
643. amis - 1 uses.
644. morts - 1 uses.
645. quelquun - 1 uses.
646. maimer - 1 uses.
647. bottle - 1 uses.
648. another - 1 uses.
649. sand - 1 uses.
650. wander - 1 uses.
651. mystic - 1 uses.
652. hint - 1 uses.
653. pent - 1 uses.
654. blind - 1 uses.
655. wonder - 1 uses.
656. unattend - 1 uses.
657. confess - 1 uses.
658. tongues - 1 uses.
659. logic - 1 uses.
660. o’saint - 1 uses.
661. christopher - 1 uses.
662. chain - 1 uses.
663. trunk - 1 uses.
664. holds - 1 uses.
665. candle - 1 uses.
666. sends - 1 uses.
667. sullen - 1 uses.
668. collect - 1 uses.
669. fold - 1 uses.
670. eye - 1 uses.
671. flow - 1 uses.
672. chris - 1 uses.
673. collar - 1 uses.
674. i’s - 1 uses.
675. you’s - 1 uses.
676. poor - 1 uses.
677. soul’s - 1 uses.
678. hardly - 1 uses.
679. midst - 1 uses.
680. everyone - 1 uses.
681. tripping - 1 uses.
682. slurring - 1 uses.
683. speech - 1 uses.
684. tos - 1 uses.
685. withouts - 1 uses.
686. division - 1 uses.
687. inevitable - 1 uses.
688. sitting - 1 uses.
689. curb - 1 uses.
690. tasting - 1 uses.
691. half-closed - 1 uses.
692. drenched - 1 uses.
693. salt - 1 uses.
694. smoking - 1 uses.
695. cigarette - 1 uses.
696. bitter - 1 uses.
697. fault - 1 uses.
698. sucks - 1 uses.
699. genetics - 1 uses.
700. dna - 1 uses.
701. geography - 1 uses.
702. place - 1 uses.
703. raised - 1 uses.
704. insulated - 1 uses.
705. slowed - 1 uses.
706. shortchanged - 1 uses.
707. drowned - 1 uses.
708. rotten - 1 uses.
709. drugs - 1 uses.
710. shortcuts - 1 uses.
711. ends - 1 uses.
712. plant - 1 uses.
713. mayan-hearted - 1 uses.
714. gatwick - 1 uses.
715. laguardia - 1 uses.
716. foot - 1 uses.
717. lambert - 1 uses.
718. unhitched - 1 uses.
719. flesh - 1 uses.
720. invisible - 1 uses.
721. fence - 1 uses.
722. customs - 1 uses.
723. two - 1 uses.
724. spent - 1 uses.
725. times - 1 uses.
726. 満たされたい - 1 uses.
727. ーがーぇーちても - 1 uses.
728. 君の傍 - 1 uses.
729. もうー - 1 uses.
730. でもいいから - 1 uses.
731. こころは - 1 uses.
732. とうのーーーつて - 1 uses.
733. ーーーつて - 1 uses.
734. ぃまの自分 - 1 uses.
735. を - 1 uses.
736. ーえ待つてくれてる人へ - 1 uses.
737. ーか僕を見てー - 1 uses.
738. 満たされて - 1 uses.
739. defanged - 1 uses.
740. declawed - 1 uses.
741. tigers - 1 uses.
742. boroughs - 1 uses.
743. swarming - 1 uses.
744. average - 1 uses.
745. stylings - 1 uses.
746. looks - 1 uses.
747. loves - 1 uses.
748. crowded - 1 uses.
749. break - 1 uses.
750. sail - 1 uses.
751. sad - 1 uses.
752. true - 1 uses.
753. wires - 1 uses.
754. glue - 1 uses.
755. halos - 1 uses.
756. worn - 1 uses.
757. thin - 1 uses.
758. ships - 1 uses.
759. anchors - 1 uses.
760. caviler - 1 uses.
761. context - 1 uses.
762. indifference - 1 uses.
763. mere - 1 uses.
764. wood - 1 uses.
765. splinters - 1 uses.
766. cinder - 1 uses.
767. romantic - 1 uses.
768. fistful - 1 uses.
769. mane - 1 uses.
770. coarse - 1 uses.
771. shove - 1 uses.
772. throat - 1 uses.
773. saturday - 1 uses.
774. shock - 1 uses.
775. collared - 1 uses.
776. 25 - 1 uses.
777. breathing - 1 uses.
778. embarrassing - 1 uses.
779. tub - 1 uses.
780. strap - 1 uses.
781. muzzle - 1 uses.
782. folded - 1 uses.
783. bent - 1 uses.
784. roar - 1 uses.
785. drum - 1 uses.
786. marked - 1 uses.
787. folding - 1 uses.
788. fallen - 1 uses.
789. coked - 1 uses.
790. fleeing - 1 uses.
791. south - 1 uses.
792. disengaged - 1 uses.
793. tabs - 1 uses.
794. horny - 1 uses.
795. secret - 1 uses.
796. texts - 1 uses.
797. names - 1 uses.
798. picture - 1 uses.
799. lies - 1 uses.
800. magician - 1 uses.
801. applause - 1 uses.
802. bastardizer - 1 uses.
803. patron - 1 uses.
804. saint - 1 uses.
805. disconnection - 1 uses.
806. feel-no-shame - 1 uses.
807. son - 1 uses.
808. finally - 1 uses.
809. runaway - 1 uses.
810. absent - 1 uses.
811. generation - 1 uses.
812. feeling - 1 uses.
813. raising - 1 uses.
814. themselves - 1 uses.
815. passive - 1 uses.
816. point - 1 uses.
817. giving - 1 uses.
818. shirt - 1 uses.
819. stumble - 1 uses.
820. woman - 1 uses.
821. celebrity - 1 uses.
822. cologne - 1 uses.
823. trapped - 1 uses.
824. mall - 1 uses.
