Most used words by Blur: 
Number of songs scanned: 146

1011. repeat - 2 uses.
1012. twisted - 2 uses.
1013. natural - 2 uses.
1014. north - 2 uses.
1015. doze - 2 uses.
1016. wanted - 2 uses.
1017. heavy-metal - 2 uses.
1018. pins - 2 uses.
1019. needles - 2 uses.
1020. bedroom - 2 uses.
1021. neck - 2 uses.
1022. kooky - 2 uses.
1023. suicide - 2 uses.
1024. hung - 2 uses.
1025. means - 2 uses.
1026. yesterday - 2 uses.
1027. move - 2 uses.
1028. crash - 2 uses.
1029. pulse - 2 uses.
1030. crawled - 2 uses.
1031. term - 2 uses.
1032. mouth - 2 uses.
1033. barrett - 2 uses.
1034. sugar - 2 uses.
1035. shopping - 2 uses.
1036. malls - 2 uses.
1037. loved - 2 uses.
1038. search - 2 uses.
1039. bow - 2 uses.
1040. glory - 2 uses.
1041. picks - 2 uses.
1042. soho - 2 uses.
1043. cable - 2 uses.
1044. arcade - 2 uses.
1045. teleport - 2 uses.
1046. bits - 2 uses.
1047. video - 2 uses.
1048. pulling - 2 uses.
1049. believed - 2 uses.
1050. since - 2 uses.
1051. topped - 2 uses.
1052. weak - 2 uses.
1053. speak - 2 uses.
1054. heard - 2 uses.
1055. load - 2 uses.
1056. aspects - 2 uses.
1057. blood - 2 uses.
1058. bloody - 2 uses.
1059. hearts - 2 uses.
1060. price - 2 uses.
1061. limit - 2 uses.
1062. centurys - 2 uses.
1063. anxiety - 2 uses.
1064. preys - 2 uses.
1065. afternoon - 2 uses.
1066. repeats - 2 uses.
1067. manner - 2 uses.
1068. piles - 2 uses.
1069. analyst - 2 uses.
1070. bills - 2 uses.
1071. rural - 2 uses.
1072. charm - 2 uses.
1073. lifes - 2 uses.
1074. everythings - 2 uses.
1075. jackanory - 2 uses.
1076. fog - 2 uses.
1077. herbal - 2 uses.
1078. harm - 2 uses.
1079. breath - 2 uses.
1080. count - 2 uses.
1081. rub - 2 uses.
1082. wholl - 2 uses.
1083. surrogate - 2 uses.
1084. heroes - 2 uses.
1085. films - 2 uses.
1086. heaven - 2 uses.
1087. stars - 2 uses.
1088. angry - 2 uses.
1089. tattooed - 2 uses.
1090. evil - 2 uses.
1091. fucked - 2 uses.
1092. set - 2 uses.
1093. clear - 2 uses.
1094. computer - 2 uses.
1095. lose - 2 uses.
1096. confidence - 2 uses.
1097. quick - 2 uses.
1098. funny - 2 uses.
1099. wonder - 2 uses.
1100. soap - 2 uses.
1101. collar - 2 uses.
1102. weekend - 2 uses.
1103. jubilee - 2 uses.
1104. spotty - 2 uses.
1105. naked - 2 uses.
1106. catatonia - 2 uses.
1107. catalonia - 2 uses.
1108. stitch - 2 uses.
