Most used words by Movements: 
Number of songs scanned: 34

915. slept - 1 use.
916. skipped - 1 use.
917. states - 1 use.
918. sane - 1 use.
919. lead - 1 use.
920. northeast - 1 use.
921. 15th - 1 use.
922. loving - 1 use.
923. thousand - 1 use.
924. miles - 1 use.
925. thorn - 1 use.
926. problems - 1 use.
927. worked - 1 use.
928. lengthening - 1 use.
929. stride - 1 use.
930. laugh - 1 use.
931. passing - 1 use.
932. damage - 1 use.
933. worn-out - 1 use.
934. ache - 1 use.
935. closed - 1 use.
936. heard - 1 use.
937. calling - 1 use.
938. mean - 1 use.
939. lonely - 1 use.
940. destitute - 1 use.
941. slight - 1 use.
942. kicking - 1 use.
943. wrestling - 1 use.
944. submerged - 1 use.
945. helpless - 1 use.
946. sing - 1 use.
947. harmony - 1 use.
948. tact - 1 use.
949. sync - 1 use.
950. backs - 1 use.
951. must - 1 use.
952. fallen - 1 use.
953. flat - 1 use.
954. wasting - 1 use.
955. held - 1 use.
956. settle - 1 use.
957. elegy - 1 use.
958. wasted - 1 use.
959. drift - 1 use.
960. film - 1 use.
961. nowhere - 1 use.
962. escape - 1 use.
963. scenes - 1 use.
964. stereotypical - 1 use.
965. situations - 1 use.
966. heartbreaking - 1 use.
967. conversations - 1 use.
968. ordinary - 1 use.
969. surroundings - 1 use.
970. control - 1 use.
971. honesty - 1 use.
972. stifled - 1 use.
973. weather - 1 use.
974. coming - 1 use.
975. soon - 1 use.
976. should - 1 use.
977. sweet - 1 use.
978. sigh - 1 use.
979. tied - 1 use.
980. lasts - 1 use.
981. rustling - 1 use.
982. honeysuckle - 1 use.
983. style - 1 use.
984. becoming - 1 use.
985. wife - 1 use.
986. disease - 1 use.
987. stayed - 1 use.
988. pretends - 1 use.
989. puts - 1 use.
990. questions - 1 use.
991. staying - 1 use.
992. trouble - 1 use.
993. plan - 1 use.
994. g-ma - 1 use.
995. street - 1 use.
996. news - 1 use.
997. few - 1 use.
998. week - 1 use.
999. followed - 1 use.
1000. sits - 1 use.
1001. forgets - 1 use.
1002. eye - 1 use.
1003. sore - 1 use.
1004. trace - 1 use.
1005. wore - 1 use.
1006. ending - 1 use.
1007. worn - 1 use.
1008. straight - 1 use.
1009. drag - 1 use.
1010. rust - 1 use.
1011. haunt - 1 use.
1012. everyday - 1 use.
1013. guessed - 1 use.
1014. leading - 1 use.
1015. melancholy - 1 use.
1016. self-reflection - 1 use.
1017. distress - 1 use.
1018. lingers - 1 use.
1019. pours - 1 use.
1020. window - 1 use.
1021. reflecting - 1 use.
1022. spells - 1 use.
1023. echoes - 1 use.
1024. hollow - 1 use.
1025. halls - 1 use.
1026. wind - 1 use.
1027. dangerous - 1 use.
1028. depths - 1 use.
1029. risk - 1 use.
1030. play - 1 use.
1031. cards - 1 use.
1032. handed - 1 use.
1033. half - 1 use.
1034. tossing - 1 use.
1035. pennies - 1 use.
1036. dozen - 1 use.
1037. dimes - 1 use.
1038. symphony - 1 use.
1039. tides - 1 use.
1040. lives - 1 use.
1041. setting - 1 use.
1042. sun - 1 use.
1043. began - 1 use.
1044. rise - 1 use.
1045. sounds - 1 use.
1046. moonlight - 1 use.
1047. truth - 1 use.
1048. next - 1 use.
1049. price - 1 use.
1050. ugly - 1 use.
1051. view - 1 use.
1052. mistake - 1 use.
1053. undo - 1 use.
1054. whered - 1 use.
1055. wager - 1 use.
1056. tilt - 1 use.
1057. ready - 1 use.
1058. fold - 1 use.
1059. beauty - 1 use.
1060. grief - 1 use.
1061. compromise - 1 use.
1062. ember - 1 use.
1063. remains - 1 use.
1064. ignite - 1 use.
1065. storm - 1 use.
1066. 12 - 1 use.
1067. weeks - 1 use.
1068. hazy - 1 use.
1069. shakin - 1 use.
1070. trial - 1 use.
1071. behalf - 1 use.
1072. uncertainty - 1 use.
1073. deliver - 1 use.
1074. wicked - 1 use.
1075. guise - 1 use.
1076. forked - 1 use.
1077. shadow - 1 use.
1078. follow - 1 use.
1079. haunting - 1 use.
1080. charades - 1 use.
1081. dreams - 1 use.
1082. drive - 1 use.
1083. car - 1 use.
1084. slam - 1 use.
1085. fist - 1 use.
1086. wheel - 1 use.
1087. knuckles - 1 use.
1088. term - 1 use.
1089. sentence - 1 use.
1090. pass - 1 use.
1091. entrance - 1 use.
1092. peek - 1 use.
1093. attendants - 1 use.
1094. mention - 1 use.
1095. procession - 1 use.
1096. invested - 1 use.
1097. writing - 1 use.
1098. digest - 1 use.
1099. depression - 1 use.
1100. shorter - 1 use.
1101. cared - 1 use.
1102. state - 1 use.
1103. stalling - 1 use.
1104. decipher - 1 use.
1105. fighter - 1 use.
1106. angry - 1 use.
1107. wire - 1 use.
1108. anyone - 1 use.
1109. pine - 1 use.
1110. voice - 1 use.
1111. choir - 1 use.
1112. yesterday - 1 use.
1113. engagement - 1 use.
1114. pictures - 1 use.
1115. seat - 1 use.
1116. daydreaming - 1 use.
1117. children - 1 use.
1118. honestly - 1 use.
1119. beautiful - 1 use.
1120. wedding - 1 use.
1121. ring - 1 use.
1122. bittersweet - 1 use.
1123. happy - 1 use.
1124. split - 1 use.
1125. operating - 1 use.
1126. room - 1 use.
1127. erase - 1 use.
1128. blue - 1 use.
1129. analyse - 1 use.
1130. assess - 1 use.
1131. interpret - 1 use.
1132. isolate - 1 use.
1133. attempt - 1 use.
1134. relieve - 1 use.
1135. restlessness - 1 use.
1136. resonance - 1 use.
1137. determine - 1 use.
1138. depressed - 1 use.
1139. prescribe - 1 use.
1140. eating - 1 use.
1141. given - 1 use.
1142. lie - 1 use.
1143. retrace - 1 use.
1144. steps - 1 use.
1145. hatchet - 1 use.
1146. unsaid - 1 use.
1147. went - 1 use.
1148. bark - 1 use.
1149. bite - 1 use.
1150. hindsight - 1 use.
1151. strive - 1 use.
1152. force - 1 use.
1153. shattered - 1 use.
1154. came - 1 use.
1155. washed - 1 use.
1156. rocks - 1 use.
1157. covering - 1 use.
1158. blaming - 1 use.
1159. jaded - 1 use.
1160. lied - 1 use.
1161. hurts - 1 use.
1162. casualty - 1 use.
1163. created - 1 use.
1164. insecure - 1 use.
