Most used words by Grayscale: 
Number of songs scanned: 55

728. smell - 2 uses.
729. blankets - 2 uses.
730. today - 2 uses.
731. sex - 2 uses.
732. tom - 2 uses.
733. swollen - 2 uses.
734. ones - 2 uses.
735. thank - 2 uses.
736. lesson - 2 uses.
737. actually - 2 uses.
738. constant - 2 uses.
739. deny - 2 uses.
740. whatever - 2 uses.
741. john - 2 uses.
742. mousetrap - 2 uses.
743. dish - 2 uses.
744. rack - 2 uses.
745. crooked - 2 uses.
746. filled - 2 uses.
747. swimming - 2 uses.
748. stranger - 2 uses.
749. pretending - 2 uses.
750. ezra - 2 uses.
751. ahead - 2 uses.
752. drove - 2 uses.
753. swore - 2 uses.
754. cross - 2 uses.
755. heartsick - 2 uses.
756. wide - 2 uses.
757. nightmare - 2 uses.
758. wakes - 2 uses.
759. big - 2 uses.
760. seasons - 2 uses.
761. taste - 2 uses.
762. stain - 2 uses.
763. remains - 2 uses.
764. fingertips - 2 uses.
765. nicotine - 2 uses.
766. heal - 2 uses.
767. sinking - 2 uses.
768. works - 2 uses.
769. cheeks - 2 uses.
770. grass - 2 uses.
771. different - 2 uses.
772. push - 2 uses.
773. whys - 2 uses.
774. knew - 2 uses.
775. dull - 2 uses.
776. eating - 2 uses.
777. cobblestone - 2 uses.
778. promise - 2 uses.
779. visit - 2 uses.
780. innocent - 2 uses.
781. chance - 2 uses.
782. obvious - 2 uses.
783. cared - 2 uses.
784. songs - 2 uses.
785. barely - 2 uses.
786. winds - 2 uses.
787. blowing - 2 uses.
788. listened - 2 uses.
789. distance - 2 uses.
790. trade - 2 uses.
791. grief - 2 uses.
792. cruising - 2 uses.
793. seaplane - 2 uses.
794. velvet - 2 uses.
795. overtop - 2 uses.
796. strawberry - 2 uses.
797. maze - 2 uses.
798. saints - 2 uses.
799. trading - 2 uses.
800. rooms - 2 uses.
801. killing - 2 uses.
802. labyrinth - 2 uses.
803. masochist - 2 uses.
804. usual - 2 uses.
805. haunt - 2 uses.
806. unmade - 2 uses.
807. graceful - 2 uses.
808. speak - 2 uses.
809. stillness - 2 uses.
810. heavy - 2 uses.
811. drenched - 2 uses.
812. hollow - 2 uses.
813. wouldve - 2 uses.
814. realizing - 2 uses.
815. ripe - 1 use.
816. pome - 1 use.
817. roll - 1 use.
818. fruit - 1 use.
819. orchard - 1 use.
820. bounds - 1 use.
821. trail - 1 use.
822. markers - 1 use.
823. signal - 1 use.
824. stones - 1 use.
825. blur - 1 use.
826. ruby - 1 use.
827. solstice - 1 use.
828. winters - 1 use.
829. spell - 1 use.
830. stalk - 1 use.
831. pearlescent - 1 use.
832. hiding - 1 use.
833. entranced - 1 use.
834. nervously - 1 use.
835. patiently - 1 use.
836. thoughtful - 1 use.
837. led - 1 use.
838. story - 1 use.
839. vanity - 1 use.
840. sin - 1 use.
841. steel - 1 use.
842. erupt - 1 use.
843. cocaine - 1 use.
844. wearing - 1 use.
845. flashing - 1 use.
846. streaks - 1 use.
847. pulsing - 1 use.
848. twilight - 1 use.
849. waist - 1 use.
850. moans - 1 use.
851. grass-covered - 1 use.
852. hum - 1 use.
853. jonesin - 1 use.
854. easy - 1 use.
855. wit - 1 use.
856. anybody - 1 use.
857. cares - 1 use.
858. smacks - 1 use.
859. concrete - 1 use.
860. rails - 1 use.
861. lifting - 1 use.
862. feet - 1 use.
863. married - 1 use.
864. truth - 1 use.
865. nonsense - 1 use.
866. minds - 1 use.
867. sucked - 1 use.
868. believed - 1 use.
869. seeping - 1 use.
870. olive - 1 use.
871. listening - 1 use.
872. menzingers - 1 use.
873. record - 1 use.
874. darling - 1 use.
875. palette - 1 use.
876. worked - 1 use.
877. sunlight - 1 use.
878. blinding - 1 use.
879. blocking - 1 use.
880. werent - 1 use.
881. most - 1 use.
882. lifetime - 1 use.
883. col - 1 use.
884. wherever - 1 use.
885. share - 1 use.
886. revoke - 1 use.
887. settle - 1 use.
888. seek - 1 use.
889. penance - 1 use.
890. woes - 1 use.
891. waves - 1 use.
892. thrashed - 1 use.
893. across - 1 use.
894. ankle - 1 use.
895. pace - 1 use.
896. imposed - 1 use.
897. town - 1 use.
898. shirt - 1 use.
899. pulled - 1 use.
900. cotton - 1 use.
901. beamed - 1 use.
902. hopes - 1 use.
903. cloak - 1 use.
904. holes - 1 use.
905. wrinkled - 1 use.
906. brittle - 1 use.
907. unison - 1 use.
908. asbury - 1 use.
909. lighthouse - 1 use.
910. radio - 1 use.
911. battery - 1 use.
912. western - 1 use.
913. abuse - 1 use.
914. zona - 1 use.
915. loose - 1 use.
