Most used words by Spose: 
Number of songs scanned: 176

868. ring - 10 uses.
869. pain - 10 uses.
870. mics - 10 uses.
871. perfect - 10 uses.
872. tomorrow - 10 uses.
873. switch - 10 uses.
874. unless - 10 uses.
875. funny - 10 uses.
876. checkers - 10 uses.
877. bang - 10 uses.
878. dancin - 10 uses.
879. calm - 10 uses.
880. happened - 10 uses.
881. named - 10 uses.
882. cry - 10 uses.
883. jimmy - 10 uses.
884. garden - 9 uses.
885. magic - 9 uses.
886. local - 9 uses.
887. ay - 9 uses.
888. sposed - 9 uses.
889. book - 9 uses.
890. deep - 9 uses.
891. sarah - 9 uses.
892. pick - 9 uses.
893. climbing - 9 uses.
894. exactly - 9 uses.
895. miserable - 9 uses.
896. nuts - 9 uses.
897. livin - 9 uses.
898. band - 9 uses.
899. 4 - 9 uses.
900. single - 9 uses.
901. chest - 9 uses.
902. kanye - 9 uses.
903. sunny - 9 uses.
904. asked - 9 uses.
905. merch - 9 uses.
906. slim - 9 uses.
907. shady - 9 uses.
908. child - 9 uses.
909. spitting - 9 uses.
910. hello - 9 uses.
911. known - 9 uses.
912. york - 9 uses.
913. homies - 9 uses.
914. warm - 9 uses.
915. d - 9 uses.
916. anyone - 9 uses.
917. vocals - 9 uses.
918. ready - 9 uses.
919. shouldnt - 9 uses.
920. theyll - 9 uses.
921. boots - 9 uses.
922. rules - 9 uses.
923. point - 9 uses.
924. master - 9 uses.
925. rabbit - 9 uses.
926. everybodys - 9 uses.
927. willikers - 9 uses.
928. hurt - 9 uses.
929. leaving - 9 uses.
930. career - 9 uses.
931. bud - 9 uses.
932. double - 9 uses.
933. popped - 9 uses.
934. roads - 9 uses.
935. business - 9 uses.
936. follow - 9 uses.
937. somewhere - 9 uses.
938. signing - 9 uses.
939. thoughts - 9 uses.
940. planet - 9 uses.
941. aw - 9 uses.
942. smell - 9 uses.
943. against - 9 uses.
944. miss - 9 uses.
945. forget - 9 uses.
946. question - 9 uses.
947. handle - 9 uses.
948. built - 9 uses.
949. clorox - 9 uses.
950. dough - 9 uses.
951. pen - 9 uses.
952. ticket - 9 uses.
953. near - 9 uses.
954. mountaintop - 9 uses.
955. playin - 9 uses.
956. date - 9 uses.
957. logo - 9 uses.
958. silent - 9 uses.
959. waking - 9 uses.
960. price - 9 uses.
961. neck - 9 uses.
962. lack - 9 uses.
963. twenty - 9 uses.
964. lunch - 9 uses.
965. sounds - 9 uses.
966. 24 - 9 uses.
967. keys - 9 uses.
968. edit - 9 uses.
969. boning - 9 uses.
970. scary - 9 uses.
971. smack - 9 uses.
972. motivation - 9 uses.
973. thank - 9 uses.
974. sieve - 9 uses.
975. above - 8 uses.
976. smart - 8 uses.
977. yard - 8 uses.
978. whoops - 8 uses.
979. underground - 8 uses.
980. fade - 8 uses.
981. attitude - 8 uses.
982. weve - 8 uses.
983. peoples - 8 uses.
984. breath - 8 uses.
985. mcs - 8 uses.
986. stars - 8 uses.
987. dream - 8 uses.
988. wine - 8 uses.
989. jeans - 8 uses.
990. g - 8 uses.
991. knife - 8 uses.
992. message - 8 uses.
993. mental - 8 uses.
994. eye - 8 uses.
995. opposite - 8 uses.
996. heaven - 8 uses.
997. feels - 8 uses.
998. tall - 8 uses.
999. mac - 8 uses.
1000. nope - 8 uses.
1001. north - 8 uses.
1002. chicks - 8 uses.
1003. drinking - 8 uses.
1004. werent - 8 uses.
1005. sipping - 8 uses.
1006. mile - 8 uses.
1007. won - 8 uses.
1008. blaze - 8 uses.
1009. space - 8 uses.
1010. shining - 8 uses.
1011. bye - 8 uses.
1012. killing - 8 uses.
1013. buzz - 8 uses.
1014. clap - 8 uses.
1015. peeps - 8 uses.
1016. triple - 8 uses.
1017. focus - 8 uses.
1018. o - 8 uses.
1019. throne - 8 uses.
1020. chillin - 8 uses.
1021. arm - 8 uses.
1022. knows - 8 uses.
1023. pine - 8 uses.
1024. babies - 8 uses.
1025. huge - 8 uses.
1026. poof - 8 uses.
1027. path - 8 uses.
1028. wings - 8 uses.
1029. grounded - 8 uses.
1030. pulled - 8 uses.
1031. crowd - 8 uses.
1032. shootin - 8 uses.
1033. somethin - 8 uses.
1034. weird - 8 uses.
1035. belt - 8 uses.
1036. blues - 8 uses.
1037. sad - 8 uses.
1038. woman - 8 uses.
1039. kicked - 8 uses.
1040. upon - 8 uses.
1041. loose - 8 uses.
1042. avoid - 8 uses.
1043. lobster - 8 uses.
1044. stick - 8 uses.
1045. naked - 8 uses.
1046. settle - 8 uses.
1047. weak - 8 uses.
1048. fish - 8 uses.
1049. written - 8 uses.
1050. paint - 8 uses.
1051. holding - 8 uses.
1052. color - 8 uses.
1053. flipping - 8 uses.
1054. 10 - 8 uses.
1055. ahead - 8 uses.
1056. dig - 8 uses.
1057. jesus - 8 uses.
1058. flames - 8 uses.
1059. barely - 8 uses.
1060. taste - 8 uses.
1061. cleaned - 8 uses.
1062. starts - 8 uses.
1063. fun - 8 uses.
1064. stone - 8 uses.
1065. bright - 8 uses.
1066. eighth - 8 uses.
1067. hanging - 8 uses.
1068. friend - 8 uses.
1069. weeks - 8 uses.
1070. tickets - 8 uses.
1071. floating - 8 uses.
1072. toe - 8 uses.
1073. oil - 8 uses.
1074. talkin - 8 uses.
1075. tighter - 8 uses.
1076. swagger - 8 uses.
1077. aroma - 8 uses.
1078. tool - 8 uses.
1079. also - 8 uses.
1080. underneath - 8 uses.
1081. building - 8 uses.
1082. nights - 8 uses.
1083. cover - 8 uses.
1084. movie - 8 uses.
1085. porch - 8 uses.
1086. lazy - 8 uses.
1087. flight - 8 uses.
1088. moves - 8 uses.
1089. pawn - 8 uses.
1090. push - 8 uses.
1091. safe - 8 uses.
1092. lurking - 8 uses.
1093. m-e - 8 uses.
1094. daddy - 8 uses.
1095. grass - 8 uses.
1096. ladies - 8 uses.
1097. accurate - 8 uses.
1098. drivin - 8 uses.
1099. rep - 8 uses.
1100. tears - 8 uses.
1101. appreciate - 8 uses.
1102. states - 8 uses.
1103. throat - 8 uses.
1104. stopped - 8 uses.
1105. flowers - 8 uses.
1106. {run} - 8 uses.
1107. you-u - 8 uses.
1108. you-u-u - 8 uses.
1109. sketchball - 8 uses.
1110. boston - 7 uses.
1111. scrollin - 7 uses.
1112. spark - 7 uses.
1113. profit - 7 uses.
1114. steve - 7 uses.
1115. purple - 7 uses.
1116. betty - 7 uses.
1117. grand - 7 uses.
1118. deserve - 7 uses.
1119. land - 7 uses.
1120. american - 7 uses.
1121. runnin - 7 uses.
1122. least - 7 uses.
1123. easy - 7 uses.
1124. diss - 7 uses.
1125. quickly - 7 uses.
1126. lately - 7 uses.
1127. internet - 7 uses.
1128. bike - 7 uses.
1129. below - 7 uses.
1130. cripple - 7 uses.
1131. mothers - 7 uses.
1132. 30 - 7 uses.
1133. buddy - 7 uses.
1134. reading - 7 uses.
1135. pretend - 7 uses.
1136. lame - 7 uses.
1137. handed - 7 uses.
1138. criminal - 7 uses.
1139. pizza - 7 uses.
1140. stayed - 7 uses.
1141. twenties - 7 uses.
