Most used words by Deftones: 
Number of songs scanned: 132

688. reverse - 3 uses.
689. winning - 3 uses.
690. moved - 3 uses.
691. somethings - 3 uses.
692. collect - 3 uses.
693. queen - 3 uses.
694. scared - 3 uses.
695. rolling - 3 uses.
696. hand - 3 uses.
697. fools - 3 uses.
698. bumping - 3 uses.
699. underground - 3 uses.
700. verb - 3 uses.
701. arm - 3 uses.
702. afraid - 3 uses.
703. music - 3 uses.
704. both - 3 uses.
705. climbing - 3 uses.
706. summer - 3 uses.
707. moving - 3 uses.
708. shade - 3 uses.
709. device - 3 uses.
710. dancer - 3 uses.
711. limbs - 3 uses.
712. chair - 3 uses.
713. thick - 3 uses.
714. sees - 3 uses.
715. against - 3 uses.
716. above - 3 uses.
717. grace - 3 uses.
718. anxious - 3 uses.
719. imagine - 3 uses.
720. camera - 3 uses.
721. thirty - 3 uses.
722. nights - 3 uses.
723. uh - 3 uses.
724. sugar - 3 uses.
725. railing - 3 uses.
726. bore - 3 uses.
727. breaks - 3 uses.
728. voices - 3 uses.
729. machine - 3 uses.
730. hurt - 3 uses.
731. car - 3 uses.
732. misunderstood - 3 uses.
733. breach - 3 uses.
734. beg - 3 uses.
735. complex - 3 uses.
736. teach - 3 uses.
737. year - 3 uses.
738. stain - 3 uses.
739. everyones - 3 uses.
740. ruined - 3 uses.
741. contain - 3 uses.
742. stupid - 3 uses.
743. release - 3 uses.
744. fountain - 3 uses.
745. intent - 3 uses.
746. sharp - 3 uses.
747. moan - 3 uses.
748. barrel - 3 uses.
749. pleasure - 3 uses.
750. babies - 3 uses.
751. expect - 3 uses.
752. sway - 3 uses.
753. perfect - 3 uses.
754. survive - 3 uses.
755. matter - 3 uses.
756. better - 3 uses.
757. downtown - 3 uses.
758. pony - 3 uses.
759. pitch - 3 uses.
760. trust - 3 uses.
761. thank - 3 uses.
762. entry - 3 uses.
763. parents - 3 uses.
764. buy - 3 uses.
765. minute - 3 uses.
766. anything - 3 uses.
767. walks - 3 uses.
768. empire - 3 uses.
769. mecome - 3 uses.
770. likelet - 3 uses.
771. tried - 3 uses.
772. anymore - 3 uses.
773. climb - 3 uses.
774. whore - 3 uses.
775. lose - 3 uses.
776. pushed - 3 uses.
777. kneed - 3 uses.
778. blown - 3 uses.
779. fist - 3 uses.
780. f**kin - 3 uses.
781. drug - 3 uses.
782. brings - 3 uses.
783. creep - 3 uses.
784. skull - 3 uses.
785. mud - 3 uses.
786. edge - 3 uses.
787. shower - 3 uses.
788. dine - 3 uses.
789. within - 3 uses.
790. along - 3 uses.
791. drinking - 3 uses.
792. without - 3 uses.
793. sacred - 3 uses.
794. snakes - 3 uses.
795. surprised - 3 uses.
796. ashamed - 3 uses.
797. except - 3 uses.
798. saved - 3 uses.
799. common - 3 uses.
800. hanging - 3 uses.
801. pissed - 3 uses.
802. lettin - 3 uses.
803. mindset - 3 uses.
804. killer - 3 uses.
805. paint - 3 uses.
806. covered - 3 uses.
807. goodnight - 3 uses.
808. -- - 3 uses.
809. entirely - 3 uses.
810. insane - 3 uses.
811. claim - 3 uses.
812. passenger - 3 uses.
813. swell - 3 uses.
814. glorified - 3 uses.
815. makin - 3 uses.
816. blank - 3 uses.
817. reconnects - 3 uses.
818. collapse - 3 uses.
819. gracie - 3 uses.
820. address - 3 uses.
821. ease - 3 uses.
822. sweat - 3 uses.
823. designed - 3 uses.
824. calling - 2 uses.
825. grave - 2 uses.
826. thanks - 2 uses.
827. action - 2 uses.
828. form - 2 uses.
829. nothin - 2 uses.
830. pay - 2 uses.
831. filled - 2 uses.
832. hatred - 2 uses.
833. snap - 2 uses.
834. fingers - 2 uses.
835. divine - 2 uses.
836. rotting - 2 uses.
837. laid - 2 uses.
838. writers - 2 uses.
839. sirens - 2 uses.
840. raid - 2 uses.
841. heed - 2 uses.
842. barred - 2 uses.
843. deliver - 2 uses.
844. kneel - 2 uses.
845. altar - 2 uses.
846. hail - 2 uses.
847. trees - 2 uses.
848. tasted - 2 uses.
849. carry - 2 uses.
850. aches - 2 uses.
851. draped - 2 uses.
852. records - 2 uses.
853. build - 2 uses.
854. resist - 2 uses.
855. chest - 2 uses.
