Most used words by SZA: 
Number of songs scanned: 60

485. takin - 3 uses.
486. wavin - 3 uses.
487. fighting - 3 uses.
488. bust - 3 uses.
489. hed - 3 uses.
490. problem - 3 uses.
491. fantasy - 3 uses.
492. figured - 3 uses.
493. glory - 3 uses.
494. child - 3 uses.
495. 1 - 3 uses.
496. stars - 3 uses.
497. wasted - 3 uses.
498. isaiah - 3 uses.
499. dear - 3 uses.
500. gardens - 3 uses.
501. flowers - 3 uses.
502. screw - 3 uses.
503. along - 3 uses.
504. lovin - 3 uses.
505. lil - 3 uses.
506. speak - 3 uses.
507. kickin - 3 uses.
508. hang - 3 uses.
509. though - 3 uses.
510. near - 3 uses.
511. pull - 3 uses.
512. sick - 3 uses.
513. hands - 3 uses.
514. heres - 3 uses.
515. straight - 3 uses.
516. insecure - 3 uses.
517. passing - 3 uses.
518. ships - 3 uses.
519. strong - 3 uses.
520. deserve - 3 uses.
521. among - 3 uses.
522. birds - 3 uses.
523. diamond - 3 uses.
524. heavens - 3 uses.
525. adonai - 3 uses.
526. allah - 3 uses.
527. step - 3 uses.
528. urgent - 3 uses.
529. front - 3 uses.
530. await - 3 uses.
531. mistakes - 3 uses.
532. bedroom - 3 uses.
533. earth - 3 uses.
534. platitude - 3 uses.
535. until - 3 uses.
536. rise - 3 uses.
537. scars - 3 uses.
538. breathe - 3 uses.
539. prettier - 3 uses.
540. dick - 3 uses.
541. tied - 3 uses.
542. star - 3 uses.
543. skies - 3 uses.
544. willing - 3 uses.
545. okay - 3 uses.
546. small - 3 uses.
547. asking - 3 uses.
548. basics - 3 uses.
549. calm - 3 uses.
550. darling - 3 uses.
551. droppin - 3 uses.
552. spend - 3 uses.
553. split - 3 uses.
554. cum - 3 uses.
555. ground - 3 uses.
556. ayyy - 3 uses.
557. roads - 3 uses.
558. sits - 3 uses.
559. dreaming - 3 uses.
560. hopeless - 3 uses.
561. gut - 3 uses.
562. punch - 3 uses.
563. seeing - 3 uses.
564. brings - 3 uses.
565. joy - 3 uses.
566. gave - 3 uses.
567. learned - 3 uses.
568. acting - 3 uses.
569. gimme - 3 uses.
570. city - 3 uses.
571. crucify - 3 uses.
572. eight - 3 uses.
573. because - 3 uses.
574. third - 3 uses.
575. padded - 3 uses.
576. it-pussy - 3 uses.
577. doves - 3 uses.
578. travel - 2 uses.
579. theyd - 2 uses.
580. light - 2 uses.
581. people - 2 uses.
582. moment - 2 uses.
583. sunny - 2 uses.
584. starts - 2 uses.
585. secrets - 2 uses.
586. everybodys - 2 uses.
587. spot - 2 uses.
588. spinning - 2 uses.
589. named - 2 uses.
590. slowly - 2 uses.
591. shattered - 2 uses.
592. dagger - 2 uses.
593. disappear - 2 uses.
594. sanity - 2 uses.
595. candy - 2 uses.
596. box - 2 uses.
597. spent - 2 uses.
598. favorite - 2 uses.
599. three - 2 uses.
600. beat - 2 uses.
601. nine - 2 uses.
602. golden - 2 uses.
603. wrist - 2 uses.
604. double - 2 uses.
605. makes - 2 uses.
606. angel - 2 uses.
607. waiting - 2 uses.
608. careless - 2 uses.
609. action - 2 uses.
610. flame - 2 uses.
611. comfort - 2 uses.
612. dying - 2 uses.
613. anyones - 2 uses.
614. unicorn - 2 uses.
615. standing - 2 uses.
616. warned - 2 uses.
617. deal - 2 uses.
618. death - 2 uses.
619. thousand - 2 uses.
620. understand - 2 uses.
621. blind - 2 uses.
622. heaven - 2 uses.
623. help - 2 uses.
624. job - 2 uses.
625. quick - 2 uses.
626. paid - 2 uses.
627. since - 2 uses.
628. yesterday - 2 uses.
629. hearing - 2 uses.
630. clocks - 2 uses.
631. daylight - 2 uses.
632. pages - 2 uses.
633. faded - 2 uses.
634. dated - 2 uses.
635. moved - 2 uses.
636. party - 2 uses.
637. wouldnt - 2 uses.
638. edge - 2 uses.
639. murderous - 2 uses.
640. crashing - 2 uses.
641. bae - 2 uses.
642. inner - 2 uses.
643. circle - 2 uses.
644. damn - 2 uses.
645. jeans - 2 uses.
646. belong - 2 uses.
647. business - 2 uses.
648. reckless - 2 uses.
649. four - 2 uses.
650. weekdays - 2 uses.
651. doin - 2 uses.
652. first - 2 uses.
653. burns - 2 uses.
654. bite - 2 uses.
655. guess - 2 uses.
656. playin - 2 uses.
657. devil - 2 uses.
658. thirsty - 2 uses.
659. wash - 2 uses.
660. went - 2 uses.
661. goin - 2 uses.
662. pump - 2 uses.
663. fellas - 2 uses.
664. lady - 2 uses.
665. aggressive - 2 uses.
666. next - 2 uses.
667. year - 2 uses.
668. given - 2 uses.
669. visions - 2 uses.
670. ten - 2 uses.
671. crack - 2 uses.
672. na-na - 2 uses.
673. admit - 2 uses.
674. shortcomings - 2 uses.
675. led - 2 uses.
676. overdraft - 2 uses.
677. affair - 2 uses.
678. declining - 2 uses.
679. quicker - 2 uses.
680. started - 2 uses.
681. evidence - 2 uses.
682. misaligned - 2 uses.
683. argument - 2 uses.
684. somethin - 2 uses.
685. trigger - 2 uses.
686. ignore - 2 uses.
687. signs - 2 uses.
688. wit - 2 uses.
689. chill - 2 uses.
690. main - 2 uses.
691. decision - 2 uses.
692. crossfire - 2 uses.
693. wild - 2 uses.
694. wading - 2 uses.
695. bood - 2 uses.
696. glad - 2 uses.
697. sin - 2 uses.
698. shave - 2 uses.
699. legs - 2 uses.
700. karma - 2 uses.
701. bored - 2 uses.
702. reminiscin - 2 uses.
703. findin - 2 uses.
704. voices - 2 uses.
705. untie - 2 uses.
706. mince - 2 uses.
707. keeps - 2 uses.
708. curve - 2 uses.
709. balls - 2 uses.
710. serendipity - 2 uses.
711. nice - 2 uses.
712. worked - 2 uses.
713. loved - 2 uses.
714. favor - 2 uses.
715. theyll - 2 uses.
716. heights - 2 uses.
717. told - 2 uses.
718. robbin - 2 uses.
719. lord - 2 uses.
720. church - 2 uses.
721. amen - 2 uses.
722. explain - 2 uses.
723. tears - 2 uses.
724. empty - 2 uses.
725. losin - 2 uses.
726. nuisance - 2 uses.
727. change - 2 uses.
728. war - 2 uses.
729. weight - 2 uses.
730. armored - 2 uses.
731. fate - 2 uses.
732. played - 2 uses.
733. half - 2 uses.
734. youth - 2 uses.
735. present - 2 uses.
736. chasin - 2 uses.
737. making - 2 uses.
738. cried - 2 uses.
739. happen - 2 uses.
740. hoped - 2 uses.
741. write - 2 uses.
742. cry - 2 uses.
743. pick - 2 uses.
744. sensitive - 2 uses.
745. using - 2 uses.
746. build - 2 uses.
747. green - 2 uses.
748. drowning - 2 uses.
749. red - 2 uses.
750. scissors - 2 uses.
751. snip - 2 uses.
752. snow - 2 uses.
753. winter - 2 uses.
754. weak - 2 uses.
755. feelings - 2 uses.
756. weeknd - 2 uses.
757. ah - 2 uses.
758. queen - 2 uses.
759. control - 2 uses.
760. hoe - 2 uses.
761. women - 2 uses.
762. supermodel - 2 uses.
763. comfortable - 2 uses.
764. temporary - 2 uses.
765. bones - 2 uses.
766. purity - 2 uses.
767. hiding - 2 uses.
768. sheets - 2 uses.
769. wonder - 2 uses.
770. throw - 2 uses.
771. missing - 2 uses.
772. gold - 2 uses.
773. backyard - 2 uses.
774. questioning - 2 uses.
775. wondering - 2 uses.
776. mad - 2 uses.
777. both - 2 uses.
778. match - 2 uses.
779. touch - 2 uses.
780. getting - 2 uses.
781. case - 2 uses.
782. weed - 2 uses.
783. patient - 2 uses.
784. shoulda - 2 uses.
785. coulda - 2 uses.
786. prolly - 2 uses.
787. fool - 2 uses.
788. naked - 2 uses.
789. meant - 2 uses.
790. sound - 2 uses.
791. yours - 2 uses.
792. exclusively - 2 uses.
793. trade - 2 uses.
794. number - 2 uses.
795. ooh-ooh - 2 uses.
796. backing - 2 uses.
797. makin - 2 uses.
798. weekends - 2 uses.
799. remind - 2 uses.
800. gravity - 2 uses.
801. bullshit - 2 uses.
802. forth - 2 uses.
803. support - 2 uses.
804. panties - 2 uses.
805. big - 2 uses.
806. havin - 2 uses.
807. buddy - 2 uses.
808. also - 2 uses.
809. bleed - 2 uses.
810. fell - 2 uses.
811. oooh - 2 uses.
812. dream - 2 uses.
813. castle - 2 uses.
814. heads - 2 uses.
815. thought - 2 uses.
816. fine - 2 uses.
817. six - 2 uses.
818. whole - 2 uses.
819. trying - 2 uses.
820. wide - 2 uses.
821. chains - 2 uses.
822. roll - 2 uses.
823. havent - 2 uses.
824. relative - 2 uses.
825. clarity - 2 uses.
826. state - 2 uses.
827. freedom - 2 uses.
828. sold - 2 uses.
829. buying - 2 uses.
830. personality - 2 uses.
831. skin - 2 uses.
832. starting - 2 uses.
833. confusion - 2 uses.
834. castles - 2 uses.
835. building - 2 uses.
836. smarter - 2 uses.
837. lesson - 2 uses.
838. clearer - 2 uses.
839. breath - 2 uses.
840. skirt - 2 uses.
841. paper - 2 uses.
842. forward - 2 uses.
843. gots - 2 uses.
844. ladies - 2 uses.
845. yuh - 2 uses.
846. titties - 2 uses.
847. solána - 2 uses.
848. advice - 2 uses.
849. final - 2 uses.
850. beautiful - 2 uses.
851. breaking - 2 uses.
852. cracking - 2 uses.
853. emmanuel - 2 uses.
854. voice - 2 uses.
855. neck - 2 uses.
856. chipping - 2 uses.
857. boulders - 2 uses.
858. conquer - 2 uses.
859. neo - 2 uses.
860. simplicity - 2 uses.
861. seems - 2 uses.
862. leg - 2 uses.
863. owe - 2 uses.
864. room - 2 uses.
865. welcome - 2 uses.
866. terror - 2 uses.
867. dome - 2 uses.
868. witch - 2 uses.
869. uhhhhh - 2 uses.
870. ms - 2 uses.
871. prayin - 2 uses.
872. yelled - 2 uses.
873. finish - 2 uses.
874. begin - 2 uses.
875. chance - 2 uses.
876. record - 2 uses.
877. keys - 2 uses.
878. memories - 2 uses.
879. mmhmm - 2 uses.
880. meaning - 2 uses.
881. forrest - 2 uses.
882. yknow - 2 uses.
883. madtv - 2 uses.
884. kinda - 2 uses.
885. misunderstood - 1 use.
886. miseducated - 1 use.
887. umm - 1 use.
888. heartbreak - 1 use.
889. yearning - 1 use.
890. numb - 1 use.
891. jus - 1 use.
892. sight - 1 use.
893. piles - 1 use.
894. prescriptions - 1 use.
895. function - 1 use.
896. naturally - 1 use.
897. functioning - 1 use.
898. natural - 1 use.
899. peeking - 1 use.
900. stays - 1 use.
901. motion - 1 use.
902. spins - 1 use.
903. built - 1 use.
904. wall - 1 use.
905. achievements - 1 use.
906. question - 1 use.
907. peaking - 1 use.
908. discussion - 1 use.
909. reprise - 1 use.
910. re-thinking - 1 use.
911. current - 1 use.
912. disguise - 1 use.
913. deceives - 1 use.
914. loaded - 1 use.
915. aim - 1 use.
916. giddy - 1 use.
917. goldilocks - 1 use.
918. bumping - 1 use.
919. jadakiss - 1 use.
920. sir - 1 use.
921. sugar - 1 use.
922. drunk - 1 use.
923. summers - 1 use.
924. tide - 1 use.
925. corrals - 1 use.
926. daughter - 1 use.
927. host - 1 use.
928. oblige - 1 use.
929. tight - 1 use.
930. bounce - 1 use.
931. wiped - 1 use.
932. lives - 1 use.
933. reach - 1 use.
934. tic-toc - 1 use.
935. waits - 1 use.
936. nary - 1 use.
937. haste - 1 use.
938. knowing - 1 use.
939. awaits - 1 use.
940. twilight - 1 use.
941. froze - 1 use.
942. zeroes - 1 use.
943. spending - 1 use.
944. smoking - 1 use.
945. per - 1 use.
946. apologize - 1 use.
947. human - 1 use.
948. bacon - 1 use.
949. fairy - 1 use.
950. tales - 1 use.
951. pixie - 1 use.
