Most used words by Lucero: 
Number of songs scanned: 126

537. sinking - 5 uses.
538. above - 5 uses.
539. kerosene - 5 uses.
540. izzy - 5 uses.
541. tear - 5 uses.
542. starlite - 5 uses.
543. wine - 5 uses.
544. devil - 5 uses.
545. sign - 5 uses.
546. sewn - 5 uses.
547. raise - 4 uses.
548. silver - 4 uses.
549. lucky - 4 uses.
550. cried - 4 uses.
551. forever - 4 uses.
552. wonder - 4 uses.
553. nowhere - 4 uses.
554. moonlight - 4 uses.
555. none - 4 uses.
556. fought - 4 uses.
557. son - 4 uses.
558. sorry - 4 uses.
559. straight - 4 uses.
560. calling - 4 uses.
561. twenty - 4 uses.
562. lookin - 4 uses.
563. promise - 4 uses.
564. thrown - 4 uses.
565. mouth - 4 uses.
566. busted - 4 uses.
567. dying - 4 uses.
568. ashes - 4 uses.
569. whered - 4 uses.
570. tomorrows - 4 uses.
571. honkey - 4 uses.
572. tonk - 4 uses.
573. tomahawk - 4 uses.
574. ex - 4 uses.
575. worst - 4 uses.
576. win - 4 uses.
577. bike - 4 uses.
578. anyways - 4 uses.
579. fights - 4 uses.
580. freedom - 4 uses.
581. faster - 4 uses.
582. loud - 4 uses.
583. spoke - 4 uses.
584. guess - 4 uses.
585. talking - 4 uses.
586. fierce - 4 uses.
587. trying - 4 uses.
588. war - 4 uses.
589. sixteen - 4 uses.
590. died - 4 uses.
591. somewhere - 4 uses.
592. pan - 4 uses.
593. punk - 4 uses.
594. angels - 4 uses.
595. beside - 4 uses.
596. werent - 4 uses.
597. south - 4 uses.
598. east - 4 uses.
599. killed - 4 uses.
600. bottle - 4 uses.
601. giving - 4 uses.
602. table - 4 uses.
603. darker - 4 uses.
604. daughter - 4 uses.
605. learned - 4 uses.
606. stole - 4 uses.
607. kills - 4 uses.
608. almost - 4 uses.
609. beneath - 4 uses.
610. kissing - 4 uses.
611. meant - 4 uses.
612. hips - 4 uses.
613. started - 4 uses.
614. nobody - 4 uses.
615. ran - 4 uses.
616. asking - 4 uses.
617. nothin - 4 uses.
618. shy - 4 uses.
619. slips - 4 uses.
620. bay - 4 uses.
621. under - 4 uses.
622. drinks - 4 uses.
623. sings - 4 uses.
624. chasing - 4 uses.
625. spend - 4 uses.
626. sleeping - 4 uses.
627. settle - 4 uses.
628. thoughts - 4 uses.
629. stayed - 4 uses.
630. heat - 4 uses.
631. ohhh - 4 uses.
632. van - 4 uses.
633. thisll - 4 uses.
634. quiet - 4 uses.
635. family - 4 uses.
636. shakes - 4 uses.
637. rattles - 4 uses.
638. filled - 4 uses.
639. wandering - 4 uses.
640. wherever - 4 uses.
641. leaving - 4 uses.
642. step - 4 uses.
643. north - 4 uses.
644. walking - 4 uses.
645. bright - 4 uses.
646. peace - 4 uses.
647. letters - 4 uses.
648. decided - 4 uses.
649. youd - 4 uses.
650. without - 4 uses.
651. high - 4 uses.
652. beach - 4 uses.
653. winter - 4 uses.
654. singing - 4 uses.
655. trees - 4 uses.
656. lee - 4 uses.
657. underneath - 4 uses.
658. dry - 4 uses.
659. ring - 4 uses.
660. shore - 4 uses.
661. kinda - 4 uses.
662. away-away - 4 uses.
663. destiny - 4 uses.
664. awaits - 4 uses.
665. kathy - 4 uses.
666. wakes - 4 uses.
667. forsaken - 4 uses.
668. peril - 4 uses.
669. refuge - 4 uses.
670. moons - 4 uses.
671. course - 4 uses.
672. iron - 4 uses.
673. given - 4 uses.
674. worried - 4 uses.
675. phone - 4 uses.
676. devils - 4 uses.
677. weigh - 4 uses.
678. deeds - 4 uses.
679. scales - 4 uses.
680. balance - 4 uses.
681. coffin - 4 uses.
682. nails - 4 uses.
683. dearest - 4 uses.
684. 1993 - 4 uses.
685. opportunity - 4 uses.
686. darken - 4 uses.
687. drunken - 3 uses.
688. state - 3 uses.
689. wed - 3 uses.
690. today - 3 uses.
691. became - 3 uses.
692. chain - 3 uses.
693. breathe - 3 uses.
694. touching - 3 uses.
695. endless - 3 uses.
696. sinners - 3 uses.
697. passed - 3 uses.
698. moving - 3 uses.
699. four - 3 uses.
700. bye - 3 uses.
701. favorites - 3 uses.
702. wide - 3 uses.
703. rounds - 3 uses.
704. trains - 3 uses.
705. union - 3 uses.
706. pacific - 3 uses.
707. understand - 3 uses.
708. thief - 3 uses.
709. steal - 3 uses.
710. hornets - 3 uses.
711. nest - 3 uses.
712. swarming - 3 uses.
713. daylight - 3 uses.
714. mend - 3 uses.
715. bones - 3 uses.
716. steady - 3 uses.
717. ahead - 3 uses.
718. plain - 3 uses.
719. very - 3 uses.
720. bolted - 3 uses.
721. moved - 3 uses.
722. drifting - 3 uses.
723. bedroom - 3 uses.
724. names - 3 uses.
725. easily - 3 uses.
726. fading - 3 uses.
727. midnight - 3 uses.
728. kingdoms - 3 uses.
729. father - 3 uses.
730. eye - 3 uses.
731. red - 3 uses.
732. five - 3 uses.
733. setting - 3 uses.
734. anchor - 3 uses.
735. exactly - 3 uses.
736. touch - 3 uses.
737. summers - 3 uses.
738. winding - 3 uses.
739. booth - 3 uses.
740. rage - 3 uses.
741. walks - 3 uses.
742. afraid - 3 uses.
743. summer - 3 uses.
744. months - 3 uses.
745. smiles - 3 uses.
746. shows - 3 uses.
747. drove - 3 uses.
748. dine - 3 uses.
749. paradise - 3 uses.
750. supper - 3 uses.
751. tank - 3 uses.
752. water - 3 uses.
753. liquor - 3 uses.
754. warm - 3 uses.
755. orders - 3 uses.
756. among - 3 uses.
757. reckless - 3 uses.
758. goddamn - 3 uses.
759.  - 3 uses.
760. gladly - 3 uses.
761. makes - 3 uses.
762. mercy - 3 uses.
763. dogs - 3 uses.
764. wire - 3 uses.
765. fucking - 3 uses.
766. money - 3 uses.
767. tab - 3 uses.
768. tight - 3 uses.
769. shaking - 3 uses.
770. dangerous - 3 uses.
771. riding - 3 uses.
772. raising - 3 uses.
773. behaved - 3 uses.
774. choices - 3 uses.
775. hate - 3 uses.
776. loosing - 3 uses.
777. ship - 3 uses.
778. wears - 3 uses.
779. nyc - 3 uses.
780. seven - 3 uses.
781. mexico - 3 uses.
782. ya - 3 uses.
