Most used words by Girlpool: 
Number of songs scanned: 48

963. unlawfully - 1 use.
964. swing - 1 use.
965. flying - 1 use.
966. kite - 1 use.
967. drains - 1 use.
968. balloon - 1 use.
969. blind - 1 use.
970. wait - 1 use.
971. sighing - 1 use.
972. height - 1 use.
973. beside - 1 use.
974. tunnel - 1 use.
975. toys - 1 use.
976. cross - 1 use.
977. housewife - 1 use.
978. toy - 1 use.
979. society - 1 use.
980. blaming - 1 use.
981. work - 1 use.
982. slutshamed - 1 use.
983. bus - 1 use.
984. yellow - 1 use.
985. escapes - 1 use.
986. sale - 1 use.
987. short - 1 use.
988. lonely - 1 use.
989. loud - 1 use.
990. wheres - 1 use.
991. hill - 1 use.
992. spring - 1 use.
993. missing - 1 use.
994. unfamiliar - 1 use.
995. youd - 1 use.
996. rather - 1 use.
997. meditation - 1 use.
998. sway - 1 use.
999. caroler - 1 use.
1000. sounds - 1 use.
1001. alright - 1 use.
1002. although - 1 use.
1003. emilys - 1 use.
1004. waters - 1 use.
1005. gin - 1 use.
1006. pours - 1 use.
1007. shadow - 1 use.
1008. home-state - 1 use.
1009. tree - 1 use.
1010. ready - 1 use.
1011. awe - 1 use.
1012. metals - 1 use.
1013. burned - 1 use.
1014. scene - 1 use.
1015. heavy - 1 use.
1016. hesitant - 1 use.
1017. seemed - 1 use.
1018. first - 1 use.
1019. lovers - 1 use.
1020. turn - 1 use.
1021. strangers - 1 use.
1022. everyone - 1 use.
1023. danced - 1 use.
1024. afterglow - 1 use.
1025. pretend - 1 use.
1026. cared - 1 use.
1027. disappeared - 1 use.
1028. truth - 1 use.
1029. magnifying - 1 use.
1030. instead - 1 use.
1031. frightened - 1 use.
1032. those - 1 use.
1033. passing - 1 use.
1034. meant - 1 use.
1035. rehearse - 1 use.
1036. footsteps - 1 use.
1037. cards - 1 use.
1038. affection - 1 use.
1039. false - 1 use.
1040. drunk - 1 use.
1041. fingers - 1 use.
1042. parking - 1 use.
1043. front - 1 use.
1044. sweat - 1 use.
1045. shaky - 1 use.
1046. searching - 1 use.
1047. kind - 1 use.
1048. 45 - 1 use.
1049. neighbourhood - 1 use.
1050. million - 1 use.
1051. billion - 1 use.
1052. trillion - 1 use.
1053. crack - 1 use.
1054. side-walk - 1 use.
1055. green - 1 use.
1056. black - 1 use.
1057. cans - 1 use.
1058. after - 1 use.
1059. brains - 1 use.
1060. rolling - 1 use.
1061. snowball - 1 use.
1062. truck - 1 use.
1063. sat - 1 use.
1064. concrete - 1 use.
1065. transfixed - 1 use.
1066. lullabies - 1 use.
1067. suspended - 1 use.
1068. needing - 1 use.
1069. fill - 1 use.
1070. paragraph - 1 use.
1071. revising - 1 use.
1072. trumpet - 1 use.
1073. sounded - 1 use.
1074. filled - 1 use.
1075. thems - 1 use.
1076. hides - 1 use.
1077. clay - 1 use.
1078. drinking - 1 use.
1079. 7-up - 1 use.
1080. josephs - 1 use.
1081. dads - 1 use.
1082. ladies - 1 use.
1083. size - 1 use.
1084. ignore - 1 use.
1085. giving - 1 use.
1086. context - 1 use.
1087. blackout - 1 use.
1088. higher - 1 use.
1089. irony - 1 use.
1090. forward - 1 use.
1091. lonely-rational - 1 use.
1092. molding - 1 use.
1093. nonsense - 1 use.
